mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_max_iter,param_solver,param_tol,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.0009974956512451172,0.00015075705794653974,0.00046415328979492186,4.3154526803856974e-05,0.0001,1000,auto,0.0001,"{'alpha': 0.0001, 'max_iter': 1000, 'solver': 'auto', 'tol': 0.0001}",-0.2598369304386777,-0.26889070599629383,-0.26039174019257055,-0.2798920013067658,-0.29523115555711626,-0.27284850669828487,0.013347135431781494,525,-0.2741656806737163,-0.27191762380283585,-0.2741382630668002,-0.26922971891468545,-0.26561946462910674,-0.2710141502174289,0.0032494712647784373
0.0013198375701904297,0.0004424872682617162,0.0005090713500976562,3.7458100709187835e-05,0.0001,1000,auto,0.001,"{'alpha': 0.0001, 'max_iter': 1000, 'solver': 'auto', 'tol': 0.001}",-0.2598369304386777,-0.26889070599629383,-0.26039174019257055,-0.2798920013067658,-0.29523115555711626,-0.27284850669828487,0.013347135431781494,525,-0.2741656806737163,-0.27191762380283585,-0.2741382630668002,-0.26922971891468545,-0.26561946462910674,-0.2710141502174289,0.0032494712647784373
0.0013092041015625,0.00043944000350383116,0.0005772590637207031,6.941812315829852e-05,0.0001,1000,auto,0.01,"{'alpha': 0.0001, 'max_iter': 1000, 'solver': 'auto', 'tol': 0.01}",-0.2598369304386777,-0.26889070599629383,-0.26039174019257055,-0.2798920013067658,-0.29523115555711626,-0.27284850669828487,0.013347135431781494,525,-0.2741656806737163,-0.27191762380283585,-0.2741382630668002,-0.26922971891468545,-0.26561946462910674,-0.2710141502174289,0.0032494712647784373
0.00198822021484375,0.0005140275017365014,0.0008219718933105469,0.0003414086322538829,0.0001,1000,svd,0.0001,"{'alpha': 0.0001, 'max_iter': 1000, 'solver': 'svd', 'tol': 0.0001}",-0.25983693043867767,-0.26889070599629383,-0.26039174019257066,-0.2798920013067658,-0.2952311555571162,-0.27284850669828487,0.013347135431781466,525,-0.2741656806737163,-0.27191762380283585,-0.27413826306680017,-0.26922971891468545,-0.2656194646291068,-0.2710141502174289,0.0032494712647784083
0.0017566204071044922,0.0006798563437239963,0.0007717132568359375,0.00040883605840166327,0.0001,1000,svd,0.001,"{'alpha': 0.0001, 'max_iter': 1000, 'solver': 'svd', 'tol': 0.001}",-0.25983693043867767,-0.26889070599629383,-0.26039174019257066,-0.2798920013067658,-0.2952311555571162,-0.27284850669828487,0.013347135431781466,525,-0.2741656806737163,-0.27191762380283585,-0.27413826306680017,-0.26922971891468545,-0.2656194646291068,-0.2710141502174289,0.0032494712647784083
0.0016223907470703125,0.00048196756333538987,0.0005652427673339844,8.012218020357104e-05,0.0001,1000,svd,0.01,"{'alpha': 0.0001, 'max_iter': 1000, 'solver': 'svd', 'tol': 0.01}",-0.25983693043867767,-0.26889070599629383,-0.26039174019257066,-0.2798920013067658,-0.2952311555571162,-0.27284850669828487,0.013347135431781466,525,-0.2741656806737163,-0.27191762380283585,-0.27413826306680017,-0.26922971891468545,-0.2656194646291068,-0.2710141502174289,0.0032494712647784083
0.0014224052429199219,0.00042129568132239816,0.0005588531494140625,5.861102659113324e-05,0.0001,1000,cholesky,0.0001,"{'alpha': 0.0001, 'max_iter': 1000, 'solver': 'cholesky', 'tol': 0.0001}",-0.2598369304386777,-0.26889070599629383,-0.26039174019257055,-0.2798920013067658,-0.29523115555711626,-0.27284850669828487,0.013347135431781494,525,-0.2741656806737163,-0.27191762380283585,-0.2741382630668002,-0.26922971891468545,-0.26561946462910674,-0.2710141502174289,0.0032494712647784373
0.0018609523773193359,0.0002595926890084288,0.0009066581726074219,0.00037635036607045483,0.0001,1000,cholesky,0.001,"{'alpha': 0.0001, 'max_iter': 1000, 'solver': 'cholesky', 'tol': 0.001}",-0.2598369304386777,-0.26889070599629383,-0.26039174019257055,-0.2798920013067658,-0.29523115555711626,-0.27284850669828487,0.013347135431781494,525,-0.2741656806737163,-0.27191762380283585,-0.2741382630668002,-0.26922971891468545,-0.26561946462910674,-0.2710141502174289,0.0032494712647784373
0.0017230510711669922,0.0011642040689615846,0.0008123874664306641,0.0004011280354407573,0.0001,1000,cholesky,0.01,"{'alpha': 0.0001, 'max_iter': 1000, 'solver': 'cholesky', 'tol': 0.01}",-0.2598369304386777,-0.26889070599629383,-0.26039174019257055,-0.2798920013067658,-0.29523115555711626,-0.27284850669828487,0.013347135431781494,525,-0.2741656806737163,-0.27191762380283585,-0.2741382630668002,-0.26922971891468545,-0.26561946462910674,-0.2710141502174289,0.0032494712647784373
0.0014223575592041016,0.00027203404829835494,0.0006004810333251953,0.0001378513545137083,0.0001,1000,lsqr,0.0001,"{'alpha': 0.0001, 'max_iter': 1000, 'solver': 'lsqr', 'tol': 0.0001}",-0.259836930439032,-0.2688907059975968,-0.2603917401921985,-0.2798920013071155,-0.2952311555605406,-0.27284850669929667,0.013347135432889993,569,-0.2741656806737163,-0.27191762380283585,-0.2741382630668002,-0.26922971891468545,-0.2656194646291068,-0.2710141502174289,0.0032494712647784187
