mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_epsilon,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.43433504104614257,0.010265257232540381,0.04267549514770508,0.0031865891393977478,0.1,0.01,scale,linear,"{'C': 0.1, 'epsilon': 0.01, 'gamma': 'scale', 'kernel': 'linear'}",-0.12947121922675767,-0.1444368183916629,-0.13466904146367167,-0.1383722707409921,-0.13176690348123232,-0.13574325066086332,0.005268652713444298,23,-0.13708668443713157,-0.13461540774237873,-0.13518643152638862,-0.13336758743435767,-0.13557702686643439,-0.13516662760133819,0.0012162094277085962
0.41394987106323244,0.013547233112691119,0.17751898765563964,0.02094266271687374,0.1,0.01,scale,rbf,"{'C': 0.1, 'epsilon': 0.01, 'gamma': 'scale', 'kernel': 'rbf'}",-0.06946971462058511,-0.07211652309745445,-0.07340681748001765,-0.07432443682634374,-0.07309729531068476,-0.07248295746701713,0.0016634831612841756,12,-0.06890752367584145,-0.06956425427701128,-0.06786848428721674,-0.06722981738966852,-0.06913112098700304,-0.06854024012334821,0.0008603610909599613
0.5180640697479248,0.015659723645342318,0.0883634090423584,0.006091860211104477,0.1,0.01,scale,sigmoid,"{'C': 0.1, 'epsilon': 0.01, 'gamma': 'scale', 'kernel': 'sigmoid'}",-30.086041104094427,-25.493917961350697,-33.34220936774324,-29.19300785997062,-29.996263728672663,-29.62228800436633,2.506809142476829,28,-29.887056813802058,-30.938423215413177,-30.04770532568972,-29.731715599689917,-30.37444028710034,-30.195868248339046,0.42802576725020064
0.43525166511535646,0.02166243658230664,0.04564828872680664,0.0031573384919986332,0.1,0.01,auto,linear,"{'C': 0.1, 'epsilon': 0.01, 'gamma': 'auto', 'kernel': 'linear'}",-0.12947121922675767,-0.1444368183916629,-0.13466904146367167,-0.1383722707409921,-0.13176690348123232,-0.13574325066086332,0.005268652713444298,23,-0.13708668443713157,-0.13461540774237873,-0.13518643152638862,-0.13336758743435767,-0.13557702686643439,-0.13516662760133819,0.0012162094277085962
0.3941200256347656,0.02979437618193714,0.18526182174682618,0.02427241696669945,0.1,0.01,auto,rbf,"{'C': 0.1, 'epsilon': 0.01, 'gamma': 'auto', 'kernel': 'rbf'}",-0.0694909450234279,-0.07204278246265876,-0.0734369255842632,-0.07438609286119215,-0.07305762824043152,-0.07248287483439471,0.0016738051534162717,11,-0.06892607919258922,-0.06947225095361359,-0.06790913686971978,-0.06731759566896947,-0.06907662349067943,-0.0685403372351143,0.0007997967020742606
0.537947130203247,0.04925503355807284,0.08263912200927734,0.005183774359157748,0.1,0.01,auto,sigmoid,"{'C': 0.1, 'epsilon': 0.01, 'gamma': 'auto', 'kernel': 'sigmoid'}",-29.915307326656944,-26.238336156102353,-32.89197061845572,-28.527803322084598,-30.277622201257955,-29.570207924911518,2.1836489089351394,27,-29.70161346726406,-31.821057990393324,-29.641078184812862,-29.058209982748657,-30.759985530059716,-30.19638903105572,0.98038918615111
0.2176206111907959,0.01815145351286678,0.02375760078430176,0.003618297470880715,0.1,0.2,scale,linear,"{'C': 0.1, 'epsilon': 0.2, 'gamma': 'scale', 'kernel': 'linear'}",-0.12085183821605927,-0.1334793058931269,-0.1269695982174582,-0.13172692998074956,-0.12398525000880667,-0.1274025844632401,0.004699030447841287,17,-0.12826746162306493,-0.12652924001118837,-0.12604588119821727,-0.1256521666911914,-0.12724127396905782,-0.12674720469854395,0.0009266884109787112
0.16253151893615722,0.013029839474268652,0.07295436859130859,0.011305698842517748,0.1,0.2,scale,rbf,"{'C': 0.1, 'epsilon': 0.2, 'gamma': 'scale', 'kernel': 'rbf'}",-0.06781336694442651,-0.07272140208409174,-0.07409797099995513,-0.0749559893919013,-0.07197261344172468,-0.07231226857241987,0.002477937231957531,10,-0.06871533687565799,-0.06988508855029509,-0.06777249942760653,-0.06740976649675028,-0.06766276657634182,-0.06828909158533034,0.0009122778573894828
0.4866771221160889,0.004912664076954618,0.07976746559143066,0.006032634939995377,0.1,0.2,scale,sigmoid,"{'C': 0.1, 'epsilon': 0.2, 'gamma': 'scale', 'kernel': 'sigmoid'}",-29.996676682861086,-24.517060176816162,-33.03281588632634,-29.21117997860166,-30.06919573089281,-29.36538569109961,2.7522340314541758,26,-29.732375700319512,-29.31007804559695,-29.843589183073345,-29.665365287923347,-30.380632144323283,-29.786408072247287,0.3466505659627933
0.20789337158203125,0.021199320911630185,0.01698622703552246,0.002443983752350194,0.1,0.2,auto,linear,"{'C': 0.1, 'epsilon': 0.2, 'gamma': 'auto', 'kernel': 'linear'}",-0.12085183821605927,-0.1334793058931269,-0.1269695982174582,-0.13172692998074956,-0.12398525000880667,-0.1274025844632401,0.004699030447841287,17,-0.12826746162306493,-0.12652924001118837,-0.12604588119821727,-0.1256521666911914,-0.12724127396905782,-0.12674720469854395,0.0009266884109787112
0.17529892921447754,0.022087378655029296,0.06195578575134277,0.011819318911406551,0.1,0.2,auto,rbf,"{'C': 0.1, 'epsilon': 0.2, 'gamma': 'auto', 'kernel': 'rbf'}",-0.06781549868162273,-0.07264556852421518,-0.07413861562354777,-0.07501447774030284,-0.07194183296780297,-0.0723111987074983,0.0024942623382841656,9,-0.06872373940939545,-0.06981866309132076,-0.06781314699951643,-0.06750491943794268,-0.06760841555600205,-0.06829377689883546,0.000875576041757128
