mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_l1_ratio,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.18761205673217773,0.13131566085509624,0.0038824081420898438,0.0033706513888737692,0.0001,0.1,"{'alpha': 0.0001, 'l1_ratio': 0.1}",-0.2856681656750476,-0.28662049062031253,-0.27672088949628776,-0.284172583067062,-0.27994238416196426,-0.28262490260413486,0.003732954982298768,1,-0.28152311107489025,-0.2812652311873126,-0.28373019418084017,-0.28185930688774385,-0.28295413531607594,-0.28226639572937257,0.0009312588779156398
0.10808525085449219,0.03408265363138274,0.003293895721435547,0.0019016460261790924,0.0001,0.3,"{'alpha': 0.0001, 'l1_ratio': 0.3}",-0.2856605411366907,-0.28662627873462526,-0.27672669095896224,-0.2841694253782479,-0.2799426229929381,-0.2826251118402928,0.003730822620890544,2,-0.2815234761706471,-0.2812656055702125,-0.2837305552394,-0.2818596728572123,-0.28295450205198014,-0.2822667623778904,0.0009312557777546751
0.085880708694458,0.033103635665488386,0.0022261619567871095,0.001082195281689957,0.0001,0.5,"{'alpha': 0.0001, 'l1_ratio': 0.5}",-0.28565298927296506,-0.28663225089032957,-0.2767326421594272,-0.2841663881699169,-0.27994299824287444,-0.2826254537471027,0.0037286906426452246,3,-0.28152396088467324,-0.2812661181946964,-0.283731049201749,-0.28186016702930144,-0.2829550001132614,-0.2822672590847363,0.0009312538286102207
0.1314311981201172,0.036533028393920995,0.009215974807739257,0.01271411706835762,0.0001,0.7,"{'alpha': 0.0001, 'l1_ratio': 0.7}",-0.2856455103537234,-0.2866384063602082,-0.27673874121605657,-0.28416347329210107,-0.27994351297104797,-0.2826259288386274,0.003726559386992277,4,-0.2815245665681286,-0.28126677052524324,-0.28373167724654047,-0.2818607905712297,-0.2829556314573814,-0.28226788727370467,0.0009312530576926902
0.10609092712402343,0.0256037977958944,0.0031178474426269533,0.0009321716595305798,0.0001,0.9,"{'alpha': 0.0001, 'l1_ratio': 0.9}",-0.2856381103657687,-0.2866447459889686,-0.27674499299892746,-0.28416068166835756,-0.27994416525412175,-0.2826265392552288,0.0037244289629283656,5,-0.28152529416506933,-0.28126756403485104,-0.28373244123827324,-0.2818615453183019,-0.28295639654038496,-0.2822686482593761,0.0009312534909299468
0.09468312263488769,0.02418489911903802,0.0038124561309814454,0.0024320594143112553,0.0001,1.0,"{'alpha': 0.0001, 'l1_ratio': 1.0}",-0.2856344297016097,-0.2866479896569959,-0.27674817915499744,-0.2841593323239929,-0.27994454628390014,-0.2826268954242992,0.00372336208271287,6,-0.281525704964032,-0.2812680147524496,-0.2837328750945173,-0.281861972762824,-0.2829568306795632,-0.28226907965067716,0.0009312541492510479
0.08350744247436523,0.0166005886357664,0.0027509689331054687,0.0017733349187093255,0.001,0.1,"{'alpha': 0.001, 'l1_ratio': 0.1}",-0.28551954757081194,-0.2867653075110527,-0.2768542049602217,-0.28414800919971805,-0.2799646269028257,-0.282650339228926,0.003693685394640016,7,-0.28155767777277146,-0.2812947812952969,-0.2837590061148517,-0.2818906443467728,-0.2829843787124241,-0.2822972976484234,0.0009301736973087722
0.06552305221557617,0.01165754268491658,0.0023235321044921876,0.0019821366774570473,0.001,0.3,"{'alpha': 0.001, 'l1_ratio': 0.3}",-0.285472912685562,-0.2868566192177601,-0.2769393038624517,-0.2841461819317958,-0.27999610002804465,-0.28268222354512285,0.0036756791290541223,8,-0.28159125921607386,-0.2813288621543474,-0.2837920240308985,-0.28192414201757443,-0.28301789693399104,-0.2823308368705771,0.0009298869383628777
0.0501154899597168,0.010653862911431675,0.004529762268066406,0.0044496789241120485,0.001,0.5,"{'alpha': 0.001, 'l1_ratio': 0.5}",-0.28543486314721794,-0.28696733024453663,-0.27704016982060076,-0.28415762203310707,-0.2800423500560724,-0.28272846706030696,0.003658058907612923,9,-0.2816380675919489,-0.28137792235759795,-0.28383943312575033,-0.2819716449563146,-0.283065730398437,-0.2823785596860097,0.0009296814504525546
0.055445384979248044,0.010195056798853188,0.002327585220336914,0.000898064837296303,0.001,0.7,"{'alpha': 0.001, 'l1_ratio': 0.7}",-0.2854064559166764,-0.2870996614383737,-0.27715834009233004,-0.2841838041230269,-0.28010494013628817,-0.28279064034133905,0.003641067177294897,10,-0.2816995075668254,-0.2814436998506364,-0.2839027584933248,-0.2820346657578002,-0.28312942638116195,-0.28244201160994975,0.0009295364211340509
0.042889738082885744,0.005254766840640385,0.0012934207916259766,0.00046840726402066395,0.001,0.9,"{'alpha': 0.001, 'l1_ratio': 0.9}",-0.28538889673725804,-0.2872560364209093,-0.27729570118751523,-0.28422643854727697,-0.2801856824303326,-0.2828705510646584,0.0036249261603068235,11,-0.28177713402876486,-0.28152813371772256,-0.2839838067285969,-0.28211497083119286,-0.2832107677582498,-0.2825229626129054,0.0009294668955771944
0.03098921775817871,0.0036346837907278817,0.0014155387878417968,0.0003467546372235454,0.001,1.0,"{'alpha': 0.001, 'l1_ratio': 1.0}",-0.28538458966023006,-0.2873440498126917,-0.2773722039020966,-0.2842544909520152,-0.2802334652856564,-0.282917759922538,0.00361725780848009,12,-0.28182258810254746,-0.28157800379458486,-0.2840315913148624,-0.2821621815277982,-0.2832586542931864,-0.2825706038065959,0.0009294610273243161
0.0074081897735595705,0.002810467739266939,0.0024326324462890627,0.0014300611613714915,0.01,0.1,"{'alpha': 0.01, 'l1_ratio': 0.1}",-0.2858376901553578,-0.2883042864681272,-0.27827511827460627,-0.2847489374266139,-0.2806591519405156,-0.2835650368530442,0.0036181339446196377,13,-0.2827376992166423,-0.28217904201902577,-0.2846638069937297,-0.28291195000693015,-0.28394562344262747,-0.2832876243357911,0.0008943539706054917
0.0030335903167724608,0.0012061277320471059,0.001294851303100586,0.0004014478413397546,0.01,0.3,"{'alpha': 0.01, 'l1_ratio': 0.3}",-0.28595886245289487,-0.2884075182009844,-0.27824940691612143,-0.2849074349309029,-0.28072395722867827,-0.2836494359459164,0.0036680811940576446,14,-0.2829401765310352,-0.28230110119769203,-0.2847806086150586,-0.28320682423292654,-0.284171322845424,-0.2834800066844273,0.0008860413996412294
0.003592061996459961,0.0013110446538328083,0.0012467384338378906,0.0004604835817340297,0.01,0.5,"{'alpha': 0.01, 'l1_ratio': 0.5}",-0.28599969686631976,-0.28843881339281613,-0.2782402655573483,-0.2849889153988021,-0.28070706811412194,-0.28367495186588165,0.0036924101984159956,15,-0.2829807521229675,-0.2823434304136324,-0.2848341730557517,-0.2832465895880443,-0.28420467393803805,-0.2835219238236868,0.0008883319463150526
0.0025987148284912108,0.0009298568184424875,0.0009857654571533204,0.0003127767023641698,0.01,0.7,"{'alpha': 0.01, 'l1_ratio': 0.7}",-0.2860504621442054,-0.28849860886335127,-0.27824939732120085,-0.285092463330847,-0.28069925120186795,-0.2837180365722945,0.003720274445909927,16,-0.28302336539334993,-0.2823862615799595,-0.2848772009043624,-0.2832892683619552,-0.2842473179416408,-0.2835646828362536,0.0008883972906475686
