mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_min_samples_split,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.16671462059020997,0.017712326204146877,0.0021026134490966797,0.0005004933557965465,0.01,3,2,50,0.8,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_split': 2, 'n_estimators': 50, 'subsample': 0.8}",-0.35134406610067564,-0.3433514050201137,-0.3494293844190663,-0.35411594910483124,-0.3488714974149686,-0.3494224604119311,0.0035463425178572042,67,-0.34330810379181226,-0.34678513458890464,-0.3451243649742751,-0.34163201626341694,-0.34396328164033924,-0.3441625802517497,0.001730689178330845
0.2206139087677002,0.016297721463089505,0.002496767044067383,0.0008449724698342734,0.01,3,2,50,1.0,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_split': 2, 'n_estimators': 50, 'subsample': 1.0}",-0.35193179149892634,-0.3428972578257751,-0.34834256686006176,-0.3547783585632819,-0.3490866461361449,-0.34940732417683795,0.0039708551241592,65,-0.3439357755780676,-0.3469484724197252,-0.3452839918537135,-0.34152443648906466,-0.3437281875240994,-0.34428417277293405,0.0017969293453555654
0.32125391960144045,0.006795650859823736,0.003227901458740234,0.0013223406830615702,0.01,3,2,100,0.8,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_split': 2, 'n_estimators': 100, 'subsample': 0.8}",-0.2948445017839011,-0.27640778025376744,-0.28917481672477424,-0.29208088052539977,-0.28440567678423495,-0.2873827312144155,0.006484976470663072,38,-0.2751119091011088,-0.2811547112454822,-0.27748802238309295,-0.27471269673765464,-0.2775969824472323,-0.27721286438291415,0.002298967883676665
0.39261884689331056,0.010238712543273238,0.0024039745330810547,0.0010427412677806967,0.01,3,2,100,1.0,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_split': 2, 'n_estimators': 100, 'subsample': 1.0}",-0.29498219637584067,-0.2751694613534052,-0.28817061886486184,-0.2932421335051343,-0.2848855118261818,-0.28728998438508474,0.0070436111248847275,36,-0.276087196430314,-0.2818707481761233,-0.277751761173436,-0.27505364459918236,-0.27754268567328627,-0.2776612072104684,0.0023246236351001435
0.6754752159118652,0.016139836661588795,0.00478510856628418,0.0016760975767853902,0.01,3,2,200,0.8,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_split': 2, 'n_estimators': 200, 'subsample': 0.8}",-0.26844233758804953,-0.2420847528968358,-0.25736617720532484,-0.2644528858025213,-0.2534192564628727,-0.25715308199112086,0.009184506867079079,5,-0.23481441349784365,-0.2430737289604135,-0.2381423011552969,-0.23550437265060228,-0.23857421199663492,-0.23802180565215827,0.0029143244293341523
0.7552152633666992,0.010256679920709517,0.0036897659301757812,0.0008428455369434647,0.01,3,2,200,1.0,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_split': 2, 'n_estimators': 200, 'subsample': 1.0}",-0.2688141044187389,-0.24284655187842386,-0.25682024468540493,-0.26545201666684554,-0.2554833666104621,-0.25788325685197505,0.009052751163731712,8,-0.23606220371420086,-0.24454180981732634,-0.239606984024427,-0.2364877600241972,-0.23873155770687315,-0.2390860630574049,0.0030350324342810885
0.17748327255249025,0.012446298208040479,0.0016912460327148438,0.0006631668488479185,0.01,3,10,50,0.8,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_split': 10, 'n_estimators': 50, 'subsample': 0.8}",-0.35134406610067564,-0.3433514050201137,-0.3494293844190663,-0.35411594910483124,-0.3488714974149686,-0.3494224604119311,0.0035463425178572042,67,-0.34330810379181226,-0.34678513458890464,-0.3451243649742751,-0.34163201626341694,-0.34396328164033924,-0.3441625802517497,0.001730689178330845
0.19520769119262696,0.011369497814536488,0.0019137859344482422,0.000834344487339752,0.01,3,10,50,1.0,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_split': 10, 'n_estimators': 50, 'subsample': 1.0}",-0.35193179149892634,-0.3428972578257751,-0.34834256686006176,-0.3547783585632819,-0.3490866461361449,-0.34940732417683795,0.0039708551241592,65,-0.3439357755780676,-0.3469484724197252,-0.3452839918537135,-0.34152443648906466,-0.3437281875240994,-0.34428417277293405,0.0017969293453555654
0.3308873653411865,0.008576762100159042,0.0022950172424316406,0.0005294660324546147,0.01,3,10,100,0.8,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_split': 10, 'n_estimators': 100, 'subsample': 0.8}",-0.2948445017839011,-0.27640778025376744,-0.28917481672477424,-0.29208088052539977,-0.28440567678423495,-0.2873827312144155,0.006484976470663072,38,-0.2751119091011088,-0.2811547112454822,-0.27748802238309295,-0.27471269673765464,-0.2775969824472323,-0.27721286438291415,0.002298967883676665
0.3808109760284424,0.01106785582599801,0.002331113815307617,0.000811020565796147,0.01,3,10,100,1.0,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_split': 10, 'n_estimators': 100, 'subsample': 1.0}",-0.29498219637584067,-0.2751694613534052,-0.28817061886486184,-0.2932421335051343,-0.2848855118261818,-0.28728998438508474,0.0070436111248847275,36,-0.276087196430314,-0.2818707481761233,-0.277751761173436,-0.27505364459918236,-0.27754268567328627,-0.2776612072104684,0.0023246236351001435
