mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_batch_size,param_early_stopping,param_hidden_layer_sizes,param_learning_rate,param_learning_rate_init,param_max_iter,param_n_iter_no_change,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
1.1966747760772705,0.34156083439721185,0.0023566246032714843,0.0013826133348027734,relu,0.0001,32,True,"(16,)",constant,0.001,300,10,adam,"{'activation': 'relu', 'alpha': 0.0001, 'batch_size': 32, 'early_stopping': True, 'hidden_layer_sizes': (16,), 'learning_rate': 'constant', 'learning_rate_init': 0.001, 'max_iter': 300, 'n_iter_no_change': 10, 'solver': 'adam'}",-0.2500866490495913,-0.24419515417466936,-0.24196452784399233,-0.2658197506525642,-0.27813900111283457,-0.25604101656673034,0.013841033519383482,375,-0.25632565856674383,-0.24248788738544158,-0.24826612754913605,-0.23830192792821608,-0.24483597281392508,-0.24604351484869252,0.006077751214475323
0.6804275989532471,0.21721299837122057,0.0010680198669433595,0.00020950797644012198,relu,0.0001,32,True,"(16,)",constant,0.001,300,10,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'batch_size': 32, 'early_stopping': True, 'hidden_layer_sizes': (16,), 'learning_rate': 'constant', 'learning_rate_init': 0.001, 'max_iter': 300, 'n_iter_no_change': 10, 'solver': 'sgd'}",-0.24467914653118938,-0.25361138307431014,-0.2478307281264777,-0.2679242032256312,-0.28910723889065515,-0.26063053996965274,0.016319746349130564,723,-0.25761182986523923,-0.25123952145063144,-0.2612481834243521,-0.2468026886746632,-0.2522429458772074,-0.25382903385841865,0.005058539357293127
1.2149471759796142,0.2969330384134494,0.0018080711364746095,0.0009304016718517234,relu,0.0001,32,True,"(16,)",constant,0.001,700,10,adam,"{'activation': 'relu', 'alpha': 0.0001, 'batch_size': 32, 'early_stopping': True, 'hidden_layer_sizes': (16,), 'learning_rate': 'constant', 'learning_rate_init': 0.001, 'max_iter': 700, 'n_iter_no_change': 10, 'solver': 'adam'}",-0.2500866490495913,-0.24419515417466936,-0.24196452784399233,-0.2658197506525642,-0.27813900111283457,-0.25604101656673034,0.013841033519383482,375,-0.25632565856674383,-0.24248788738544158,-0.24826612754913605,-0.23830192792821608,-0.24483597281392508,-0.24604351484869252,0.006077751214475323
0.7378850460052491,0.24747702103392136,0.0013127326965332031,0.0005670987856959466,relu,0.0001,32,True,"(16,)",constant,0.001,700,10,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'batch_size': 32, 'early_stopping': True, 'hidden_layer_sizes': (16,), 'learning_rate': 'constant', 'learning_rate_init': 0.001, 'max_iter': 700, 'n_iter_no_change': 10, 'solver': 'sgd'}",-0.24467914653118938,-0.25361138307431014,-0.2478307281264777,-0.2679242032256312,-0.28910723889065515,-0.26063053996965274,0.016319746349130564,723,-0.25761182986523923,-0.25123952145063144,-0.2612481834243521,-0.2468026886746632,-0.2522429458772074,-0.25382903385841865,0.005058539357293127
0.4671309947967529,0.08009636710588507,0.0012200355529785156,0.0003756315516603127,relu,0.0001,32,True,"(16,)",constant,0.01,300,10,adam,"{'activation': 'relu', 'alpha': 0.0001, 'batch_size': 32, 'early_stopping': True, 'hidden_layer_sizes': (16,), 'learning_rate': 'constant', 'learning_rate_init': 0.01, 'max_iter': 300, 'n_iter_no_change': 10, 'solver': 'adam'}",-0.24727606820410253,-0.2530103143722176,-0.24453791491132654,-0.2665323693935048,-0.2801936364676111,-0.2583100606697525,0.013311690725004845,619,-0.2511470639761944,-0.25060745688023667,-0.24347113523659675,-0.24165541295532225,-0.24534967176695605,-0.24644614816306123,0.003805764205841509
0.4364978313446045,0.1281980876511951,0.0015285968780517577,0.0009873514898657316,relu,0.0001,32,True,"(16,)",constant,0.01,300,10,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'batch_size': 32, 'early_stopping': True, 'hidden_layer_sizes': (16,), 'learning_rate': 'constant', 'learning_rate_init': 0.01, 'max_iter': 300, 'n_iter_no_change': 10, 'solver': 'sgd'}",-0.24854705286867,-0.25076410213076067,-0.24257594039707986,-0.2646263443995039,-0.2723611638938587,-0.25577492073797464,0.01100013292603182,349,-0.2532989146657744,-0.2493294239781589,-0.24722249470415467,-0.24194962311031742,-0.2397304695619655,-0.24630618520407416,0.004921331742368698
0.4538917541503906,0.08019374211749575,0.0015906333923339845,0.0010850971435127854,relu,0.0001,32,True,"(16,)",constant,0.01,700,10,adam,"{'activation': 'relu', 'alpha': 0.0001, 'batch_size': 32, 'early_stopping': True, 'hidden_layer_sizes': (16,), 'learning_rate': 'constant', 'learning_rate_init': 0.01, 'max_iter': 700, 'n_iter_no_change': 10, 'solver': 'adam'}",-0.24727606820410253,-0.2530103143722176,-0.24453791491132654,-0.2665323693935048,-0.2801936364676111,-0.2583100606697525,0.013311690725004845,619,-0.2511470639761944,-0.25060745688023667,-0.24347113523659675,-0.24165541295532225,-0.24534967176695605,-0.24644614816306123,0.003805764205841509
0.4303617477416992,0.1555543474692276,0.001857423782348633,0.0015814835606909083,relu,0.0001,32,True,"(16,)",constant,0.01,700,10,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'batch_size': 32, 'early_stopping': True, 'hidden_layer_sizes': (16,), 'learning_rate': 'constant', 'learning_rate_init': 0.01, 'max_iter': 700, 'n_iter_no_change': 10, 'solver': 'sgd'}",-0.24854705286867,-0.25076410213076067,-0.24257594039707986,-0.2646263443995039,-0.2723611638938587,-0.25577492073797464,0.01100013292603182,349,-0.2532989146657744,-0.2493294239781589,-0.24722249470415467,-0.24194962311031742,-0.2397304695619655,-0.24630618520407416,0.004921331742368698
1.1876076698303222,0.3223018581558194,0.0010140419006347656,0.00021309763506372118,relu,0.0001,32,True,"(16,)",adaptive,0.001,300,10,adam,"{'activation': 'relu', 'alpha': 0.0001, 'batch_size': 32, 'early_stopping': True, 'hidden_layer_sizes': (16,), 'learning_rate': 'adaptive', 'learning_rate_init': 0.001, 'max_iter': 300, 'n_iter_no_change': 10, 'solver': 'adam'}",-0.2500866490495913,-0.24419515417466936,-0.24196452784399233,-0.2658197506525642,-0.27813900111283457,-0.25604101656673034,0.013841033519383482,375,-0.25632565856674383,-0.24248788738544158,-0.24826612754913605,-0.23830192792821608,-0.24483597281392508,-0.24604351484869252,0.006077751214475323
1.560969638824463,0.29397100355786143,0.0014131546020507812,0.0007087098262016629,relu,0.0001,32,True,"(16,)",adaptive,0.001,300,10,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'batch_size': 32, 'early_stopping': True, 'hidden_layer_sizes': (16,), 'learning_rate': 'adaptive', 'learning_rate_init': 0.001, 'max_iter': 300, 'n_iter_no_change': 10, 'solver': 'sgd'}",-0.24467914653118938,-0.25361138307431014,-0.24385298187179513,-0.26805935869971526,-0.2823748149568017,-0.25851553702676233,0.01477048832690226,627,-0.25761182986523923,-0.25123952145063144,-0.25583837468948994,-0.24620225455843098,-0.2482471319134542,-0.2518278224954492,0.004344047143672342
