mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_min_samples_split,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.10538992881774903,0.011862947203061176,0.001857900619506836,0.000523793031977974,0.01,3,2,50,0.8,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_split': 2, 'n_estimators': 50, 'subsample': 0.8}",-0.21198779205528984,-0.2060302219644199,-0.22570948067912802,-0.22704026099410735,-0.1883643863172125,-0.21182642840203153,0.014200628920960684,67,-0.20737553787800458,-0.2100272977652774,-0.20548424739339044,-0.2050781578100139,-0.21408230869215628,-0.20840950990776852,0.003332327995129777
0.14367060661315917,0.0022459124982030267,0.002557039260864258,0.0019010761178317383,0.01,3,2,50,1.0,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_split': 2, 'n_estimators': 50, 'subsample': 1.0}",-0.21192370896474505,-0.20635008441422825,-0.22607673564340056,-0.22729292081841762,-0.18871655251303432,-0.21207200047076516,0.014184838994647193,69,-0.20771279616538282,-0.2103372956373206,-0.2057705348754344,-0.20566425805123464,-0.21429188774913166,-0.20875535449570082,0.003246742721822258
0.2711014747619629,0.027336775503450504,0.0021007537841796877,0.0006963765088882704,0.01,3,2,100,0.8,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_split': 2, 'n_estimators': 100, 'subsample': 0.8}",-0.17262670418256532,-0.16497365124462424,-0.17976986101254722,-0.18089973870139933,-0.14693079736716905,-0.16904015050166105,0.012441863200131666,38,-0.16072382997074175,-0.16341198375569754,-0.1603194584845409,-0.1602902746026161,-0.16801036211038275,-0.16255118178479583,0.0029656410668873253
0.3052708148956299,0.017032018918964022,0.0018460750579833984,0.0006413551776609029,0.01,3,2,100,1.0,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_split': 2, 'n_estimators': 100, 'subsample': 1.0}",-0.1728775280173641,-0.16554206109311503,-0.1812934000041939,-0.1814289993443908,-0.14716556943542455,-0.1696615115788977,0.012705547163419303,40,-0.16142960683396732,-0.16433530816963696,-0.16085533356206405,-0.16099885351244006,-0.16889984063115235,-0.16330378854185215,0.0030724597989460036
0.5157107830047607,0.028609031723063543,0.003130674362182617,0.00187257833953012,0.01,3,2,200,0.8,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_split': 2, 'n_estimators': 200, 'subsample': 0.8}",-0.15521943178588662,-0.14386831447457468,-0.1570464144217299,-0.15578346326340278,-0.1260695518222845,-0.1475974351535757,0.011762186870238755,5,-0.13247276304933894,-0.13538378177795873,-0.13309270007699697,-0.1328556346200054,-0.1404070933519254,-0.1348423945752451,0.0029625250076231024
0.5985127925872803,0.018933310768121072,0.0032926559448242187,0.0008192817511077245,0.01,3,2,200,1.0,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_split': 2, 'n_estimators': 200, 'subsample': 1.0}",-0.15549791043007508,-0.14353797651820896,-0.15746524518725377,-0.1566967263242341,-0.12659195418359204,-0.1479579625286728,0.011829182723378523,7,-0.13398020397101415,-0.13654333121411077,-0.13322885451725225,-0.1338332556084859,-0.1412295761892692,-0.13576304430002648,0.0029602885147318597
0.13371639251708983,0.005471679283108187,0.0013381004333496093,0.00039811923918968195,0.01,3,10,50,0.8,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_split': 10, 'n_estimators': 50, 'subsample': 0.8}",-0.21198779205528984,-0.2060302219644199,-0.22570948067912802,-0.22704026099410735,-0.1883643863172125,-0.21182642840203153,0.014200628920960684,67,-0.20737553787800458,-0.2100272977652774,-0.20548424739339044,-0.2050781578100139,-0.21408230869215628,-0.20840950990776852,0.003332327995129777
0.15239639282226564,0.013043793973111303,0.0015607357025146484,0.0008955452682187679,0.01,3,10,50,1.0,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_split': 10, 'n_estimators': 50, 'subsample': 1.0}",-0.21192370896474505,-0.20635008441422825,-0.22607673564340056,-0.22729292081841762,-0.18871655251303432,-0.21207200047076516,0.014184838994647193,69,-0.20771279616538282,-0.2103372956373206,-0.2057705348754344,-0.20566425805123464,-0.21429188774913166,-0.20875535449570082,0.003246742721822258
0.2715430736541748,0.008329562334925,0.0020719528198242187,0.0010353660493017992,0.01,3,10,100,0.8,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_split': 10, 'n_estimators': 100, 'subsample': 0.8}",-0.17262670418256532,-0.16497365124462424,-0.17976986101254722,-0.18090298304756733,-0.14692797263964105,-0.16904023442538904,0.01244348566069423,39,-0.16072382997074175,-0.16341198375569754,-0.1603194584845409,-0.16029634134114057,-0.16801061139594922,-0.162552444989614,0.002964808685274165
0.3177470684051514,0.00957690231986294,0.0022057056427001952,0.0009695109879032701,0.01,3,10,100,1.0,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_split': 10, 'n_estimators': 100, 'subsample': 1.0}",-0.1728775280173641,-0.16554206109311503,-0.1812934000041939,-0.1814289993443908,-0.14716556943542455,-0.1696615115788977,0.012705547163419303,40,-0.16142960683396732,-0.16433530816963696,-0.16085533356206405,-0.16099885351244006,-0.16889984063115235,-0.16330378854185215,0.0030724597989460036
