mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_max_iter,param_selection,param_tol,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.0263946533203125,0.005129979452379907,0.0017762184143066406,0.0013577381311845713,0.0001,1000,random,0.0001,"{'alpha': 0.0001, 'max_iter': 1000, 'selection': 'random', 'tol': 0.0001}",-0.2867894657801405,-0.2689638124582329,-0.27578733027511565,-0.3032760952582173,-0.2793439356803394,-0.2828321278904092,0.011728112859029636,1,-0.27965533442071056,-0.2843032276785732,-0.28254756513696755,-0.2755139957481086,-0.2816180557573304,-0.28072763574833803,0.0030073816057427194
0.027851009368896486,0.008628278921306048,0.0011768817901611328,0.0003211379633116516,0.0001,5000,random,0.0001,"{'alpha': 0.0001, 'max_iter': 5000, 'selection': 'random', 'tol': 0.0001}",-0.2867894657801405,-0.2689638124582329,-0.27578733027511565,-0.3032760952582173,-0.2793439356803394,-0.2828321278904092,0.011728112859029636,1,-0.27965533442071056,-0.2843032276785732,-0.28254756513696755,-0.2755139957481086,-0.2816180557573304,-0.28072763574833803,0.0030073816057427194
0.030082559585571288,0.004273930773628079,0.0012513160705566405,0.0004461496133443115,0.0001,10000,random,0.0001,"{'alpha': 0.0001, 'max_iter': 10000, 'selection': 'random', 'tol': 0.0001}",-0.2867894657801405,-0.2689638124582329,-0.27578733027511565,-0.3032760952582173,-0.2793439356803394,-0.2828321278904092,0.011728112859029636,1,-0.27965533442071056,-0.2843032276785732,-0.28254756513696755,-0.2755139957481086,-0.2816180557573304,-0.28072763574833803,0.0030073816057427194
0.012395620346069336,0.001039079537507009,0.001372051239013672,0.0004951258419056292,0.0001,1000,cyclic,0.001,"{'alpha': 0.0001, 'max_iter': 1000, 'selection': 'cyclic', 'tol': 0.001}",-0.2867899128423564,-0.2689622771023955,-0.27578873215983024,-0.30327464229572104,-0.2793452394664402,-0.2828321607733487,0.011727753681863773,4,-0.2796554288852136,-0.28430331163058786,-0.282547652806302,-0.275514079890521,-0.2816181385581808,-0.2807277223541611,0.0030073811718146813
0.01392669677734375,0.0029502088363739733,0.0012857913970947266,0.00044724155732595705,0.0001,5000,cyclic,0.001,"{'alpha': 0.0001, 'max_iter': 5000, 'selection': 'cyclic', 'tol': 0.001}",-0.2867899128423564,-0.2689622771023955,-0.27578873215983024,-0.30327464229572104,-0.2793452394664402,-0.2828321607733487,0.011727753681863773,4,-0.2796554288852136,-0.28430331163058786,-0.282547652806302,-0.275514079890521,-0.2816181385581808,-0.2807277223541611,0.0030073811718146813
0.016210079193115234,0.0025675071470370294,0.0018869400024414062,0.0016181413748216828,0.0001,10000,cyclic,0.001,"{'alpha': 0.0001, 'max_iter': 10000, 'selection': 'cyclic', 'tol': 0.001}",-0.2867899128423564,-0.2689622771023955,-0.27578873215983024,-0.30327464229572104,-0.2793452394664402,-0.2828321607733487,0.011727753681863773,4,-0.2796554288852136,-0.28430331163058786,-0.282547652806302,-0.275514079890521,-0.2816181385581808,-0.2807277223541611,0.0030073811718146813
0.024549531936645507,0.0081212557232512,0.00074615478515625,1.357152605750527e-05,0.0001,1000,random,0.001,"{'alpha': 0.0001, 'max_iter': 1000, 'selection': 'random', 'tol': 0.001}",-0.28679145455572064,-0.2689591928313162,-0.27579038547024737,-0.30327346680140055,-0.2793465729541823,-0.28283221452257334,0.011727899733185849,7,-0.2796555968022775,-0.28430341098114176,-0.28254774325681464,-0.27551415152474673,-0.28161824605143465,-0.28072782972328303,0.003007385297340597
0.03056755065917969,0.0107875551541055,0.0023204803466796873,0.002213627818605581,0.0001,5000,random,0.001,"{'alpha': 0.0001, 'max_iter': 5000, 'selection': 'random', 'tol': 0.001}",-0.28679145455572064,-0.2689591928313162,-0.27579038547024737,-0.30327346680140055,-0.2793465729541823,-0.28283221452257334,0.011727899733185849,7,-0.2796555968022775,-0.28430341098114176,-0.28254774325681464,-0.27551415152474673,-0.28161824605143465,-0.28072782972328303,0.003007385297340597
0.02702298164367676,0.005640831123800563,0.0013302326202392577,0.0003055970294648369,0.0001,10000,random,0.001,"{'alpha': 0.0001, 'max_iter': 10000, 'selection': 'random', 'tol': 0.001}",-0.28679145455572064,-0.2689591928313162,-0.27579038547024737,-0.30327346680140055,-0.2793465729541823,-0.28283221452257334,0.011727899733185849,7,-0.2796555968022775,-0.28430341098114176,-0.28254774325681464,-0.27551415152474673,-0.28161824605143465,-0.28072782972328303,0.003007385297340597
0.011308956146240234,0.001755105387749721,0.0011461734771728515,0.0003785098280663615,0.0001,1000,cyclic,0.0001,"{'alpha': 0.0001, 'max_iter': 1000, 'selection': 'cyclic', 'tol': 0.0001}",-0.28678922169419596,-0.2689648762274297,-0.27578685024425137,-0.30327667120011725,-0.27934347202179727,-0.28283221827755833,0.011728130865906178,10,-0.27965531473556166,-0.28430319267632126,-0.2825475407047748,-0.27551395740016554,-0.28161802556052495,-0.28072760621546966,0.0030073832373557433
0.01498866081237793,0.005864622951745443,0.0012595653533935547,0.0007281405205255446,0.0001,5000,cyclic,0.0001,"{'alpha': 0.0001, 'max_iter': 5000, 'selection': 'cyclic', 'tol': 0.0001}",-0.28678922169419596,-0.2689648762274297,-0.27578685024425137,-0.30327667120011725,-0.27934347202179727,-0.28283221827755833,0.011728130865906178,10,-0.27965531473556166,-0.28430319267632126,-0.2825475407047748,-0.27551395740016554,-0.28161802556052495,-0.28072760621546966,0.0030073832373557433
