mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_epsilon,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.2818309307098389,0.021852021072297806,0.03655991554260254,0.006149851857681041,0.1,0.01,scale,linear,"{'C': 0.1, 'epsilon': 0.01, 'gamma': 'scale', 'kernel': 'linear'}",-0.26727995411282657,-0.27588304803792213,-0.27246175590773924,-0.28781484387351597,-0.3018401665654679,-0.28105595369949443,0.012394058690532268,15,-0.2826838207150475,-0.2793423726458778,-0.2828046610815725,-0.27653687494306706,-0.2741507039859259,-0.27910368667429813,0.003396825055282112
0.2847453117370605,0.03509587617619034,0.13123540878295897,0.004415524560465811,0.1,0.01,scale,rbf,"{'C': 0.1, 'epsilon': 0.01, 'gamma': 'scale', 'kernel': 'rbf'}",-0.2489008313803507,-0.26148684375450476,-0.25300165935863184,-0.2693578351392309,-0.28484806899942516,-0.26351904772642865,0.012786368891277515,4,-0.2573618501735415,-0.2560716834133828,-0.2557056462232848,-0.25014501760658286,-0.24990596699069142,-0.2538380328814967,0.003162086861271059
0.40199031829833987,0.009556887478372541,0.06425209045410156,0.005740117631214314,0.1,0.01,scale,sigmoid,"{'C': 0.1, 'epsilon': 0.01, 'gamma': 'scale', 'kernel': 'sigmoid'}",-28.796004809496996,-25.342156244189866,-33.137115580805315,-32.7514881187578,-23.379407823507655,-28.681234515351527,3.8908565292804522,28,-28.97236025979485,-29.795691580371514,-28.38511742625226,-28.114744452172133,-29.58880533599491,-28.971343810917137,0.6539469165924249
0.32958345413208007,0.010470792739155866,0.039157772064208986,0.0039294789991663436,0.1,0.01,auto,linear,"{'C': 0.1, 'epsilon': 0.01, 'gamma': 'auto', 'kernel': 'linear'}",-0.26727995411282657,-0.27588304803792213,-0.27246175590773924,-0.28781484387351597,-0.3018401665654679,-0.28105595369949443,0.012394058690532268,15,-0.2826838207150475,-0.2793423726458778,-0.2828046610815725,-0.27653687494306706,-0.2741507039859259,-0.27910368667429813,0.003396825055282112
0.3186821460723877,0.01504851135744594,0.13584585189819337,0.008238378142454782,0.1,0.01,auto,rbf,"{'C': 0.1, 'epsilon': 0.01, 'gamma': 'auto', 'kernel': 'rbf'}",-0.24889421792960478,-0.2614748207654161,-0.2528977790946709,-0.26936666590082314,-0.28489083842293017,-0.263504864422689,0.012820475247510999,3,-0.25735966833174073,-0.25605273150653146,-0.25570541590954166,-0.2501542570306769,-0.2499292078327959,-0.25384025612225736,0.00315096869816294
0.4404925346374512,0.025412376251276434,0.0768324851989746,0.0047343123115762735,0.1,0.01,auto,sigmoid,"{'C': 0.1, 'epsilon': 0.01, 'gamma': 'auto', 'kernel': 'sigmoid'}",-28.579486591177197,-25.864166458674255,-32.297454933712245,-32.52846032939728,-23.947538090620853,-28.643421280716364,3.4124816275664926,27,-28.74951181997475,-30.27517607619582,-27.64902507015145,-27.923280448393538,-30.261146664084983,-28.97162801576011,1.1189050601735238
0.23487477302551268,0.00975404306991472,0.028611183166503906,0.004457580355890439,0.1,0.2,scale,linear,"{'C': 0.1, 'epsilon': 0.2, 'gamma': 'scale', 'kernel': 'linear'}",-0.2651854241839923,-0.27209791069556105,-0.26587898998230153,-0.2845732264460854,-0.29727537158387946,-0.27700218457836395,0.01229419353093808,9,-0.27916059153207756,-0.2748853142032458,-0.2786286810508352,-0.2728658258091705,-0.26883588909744804,-0.2748752603385554,0.0038200566403533667
0.2187044620513916,0.0075653506440929545,0.08802094459533691,0.011208523229199073,0.1,0.2,scale,rbf,"{'C': 0.1, 'epsilon': 0.2, 'gamma': 'scale', 'kernel': 'rbf'}",-0.24285688717295084,-0.25284417114207125,-0.24555734573133817,-0.2656944508611008,-0.27750435925018163,-0.2568914428315285,0.012993815385710487,1,-0.2490668249912802,-0.24767288416637986,-0.24954463284871062,-0.24479815896361168,-0.24138541933128632,-0.24649358406025373,0.003042664276437795
0.4003044605255127,0.015651270994433263,0.06378087997436524,0.0038002841328642475,0.1,0.2,scale,sigmoid,"{'C': 0.1, 'epsilon': 0.2, 'gamma': 'scale', 'kernel': 'sigmoid'}",-28.812621797094792,-25.28260311137952,-33.310608693774284,-32.50994342245484,-23.24056697605186,-28.63126880015106,3.930558627644673,26,-28.863108514072284,-29.6328055132014,-28.269287430815023,-27.865810244885235,-29.349808267124473,-28.796163994019686,0.6563733073348388
0.23133597373962403,0.01084659865720195,0.028860044479370118,0.004695927974134164,0.1,0.2,auto,linear,"{'C': 0.1, 'epsilon': 0.2, 'gamma': 'auto', 'kernel': 'linear'}",-0.2651854241839923,-0.27209791069556105,-0.26587898998230153,-0.2845732264460854,-0.29727537158387946,-0.27700218457836395,0.01229419353093808,9,-0.27916059153207756,-0.2748853142032458,-0.2786286810508352,-0.2728658258091705,-0.26883588909744804,-0.2748752603385554,0.0038200566403533667
0.24509997367858888,0.029656731770266304,0.09906678199768067,0.01363087003395988,0.1,0.2,auto,rbf,"{'C': 0.1, 'epsilon': 0.2, 'gamma': 'auto', 'kernel': 'rbf'}",-0.24284303380808567,-0.2528714179634311,-0.24553299363445227,-0.2656928886964771,-0.27754485175766946,-0.2568970371720231,0.013012004897735211,2,-0.24909068319494293,-0.2476449409267409,-0.2495857368689539,-0.24480933206398187,-0.24134121943088832,-0.2464943824971016,0.0030664480564698126
