mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_algorithm,param_leaf_size,param_metric,param_n_neighbors,param_p,param_weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.024640369415283202,0.025502233680429105,0.01925950050354004,0.008171842559502686,auto,10,euclidean,3,1,uniform,"{'algorithm': 'auto', 'leaf_size': 10, 'metric': 'euclidean', 'n_neighbors': 3, 'p': 1, 'weights': 'uniform'}",-0.07649291512156584,-0.07752581737807299,-0.08958749921212668,-0.08384059652268505,-0.08311963850401526,-0.08211329334769316,0.004743282561949922,160,-0.041558357044853875,-0.04194616931755936,-0.03964562685499883,-0.03994380933636405,-0.04062961600424153,-0.04074471571160353,0.0008908645537548728
0.011403512954711915,0.006685825923306417,0.010916519165039062,0.003589321868391869,auto,10,euclidean,3,1,distance,"{'algorithm': 'auto', 'leaf_size': 10, 'metric': 'euclidean', 'n_neighbors': 3, 'p': 1, 'weights': 'distance'}",-0.07854170085171991,-0.07849791884034452,-0.08742339117987036,-0.08432401858541672,-0.08279535932397178,-0.08231647775626465,0.0034400710843307844,172,-0.0001312112578419449,-6.426393635909522e-05,-0.00011392473401108439,-0.00014256922829676736,-2.846565325249365e-05,-9.60869619522771e-05,4.3122731143708306e-05
0.0023962020874023437,0.0006913545615960859,0.012987184524536132,0.014051199409123678,auto,10,euclidean,3,2,uniform,"{'algorithm': 'auto', 'leaf_size': 10, 'metric': 'euclidean', 'n_neighbors': 3, 'p': 2, 'weights': 'uniform'}",-0.07649291512156584,-0.07752581737807299,-0.08958749921212668,-0.08384059652268505,-0.08311963850401526,-0.08211329334769316,0.004743282561949922,160,-0.041558357044853875,-0.04194616931755936,-0.03964562685499883,-0.03994380933636405,-0.04062961600424153,-0.04074471571160353,0.0008908645537548728
0.00451364517211914,0.0021294201258684692,0.008322668075561524,0.005564244748990725,auto,10,euclidean,3,2,distance,"{'algorithm': 'auto', 'leaf_size': 10, 'metric': 'euclidean', 'n_neighbors': 3, 'p': 2, 'weights': 'distance'}",-0.07854170085171991,-0.07849791884034452,-0.08742339117987036,-0.08432401858541672,-0.08279535932397178,-0.08231647775626465,0.0034400710843307844,172,-0.0001312112578419449,-6.426393635909522e-05,-0.00011392473401108439,-0.00014256922829676736,-2.846565325249365e-05,-9.60869619522771e-05,4.3122731143708306e-05
0.002613687515258789,0.0009526375093742758,0.019841623306274415,0.01363207848441747,auto,10,euclidean,7,1,uniform,"{'algorithm': 'auto', 'leaf_size': 10, 'metric': 'euclidean', 'n_neighbors': 7, 'p': 1, 'weights': 'uniform'}",-0.07126148255980656,-0.07009813546945351,-0.07965214666734743,-0.07797680435395693,-0.07702725854735681,-0.07520316551958425,0.0038055753146876647,109,-0.05723364025049746,-0.057082938072474415,-0.05374048481089731,-0.0543686492217717,-0.05608377536333581,-0.05570189754379534,0.0014159117435348608
0.002112007141113281,0.0004975526612318742,0.013778352737426757,0.00577139945851034,auto,10,euclidean,7,1,distance,"{'algorithm': 'auto', 'leaf_size': 10, 'metric': 'euclidean', 'n_neighbors': 7, 'p': 1, 'weights': 'distance'}",-0.0695696705923853,-0.0697400887579403,-0.07602879219713814,-0.07662642140579386,-0.07354623541306031,-0.07310224167326358,0.0029988264992967073,82,-0.0001312112578419449,-6.426393635909522e-05,-0.00011392473401108439,-0.00014256922829676736,-2.846565325249365e-05,-9.60869619522771e-05,4.3122731143708306e-05
0.0026717185974121094,0.0007625263556056165,0.00919947624206543,0.0019192811870815214,auto,10,euclidean,7,2,uniform,"{'algorithm': 'auto', 'leaf_size': 10, 'metric': 'euclidean', 'n_neighbors': 7, 'p': 2, 'weights': 'uniform'}",-0.07126148255980656,-0.07009813546945351,-0.07965214666734743,-0.07797680435395693,-0.07702725854735681,-0.07520316551958425,0.0038055753146876647,109,-0.05723364025049746,-0.057082938072474415,-0.05374048481089731,-0.0543686492217717,-0.05608377536333581,-0.05570189754379534,0.0014159117435348608
0.003348636627197266,0.0008123016566796693,0.013269186019897461,0.004536857588181252,auto,10,euclidean,7,2,distance,"{'algorithm': 'auto', 'leaf_size': 10, 'metric': 'euclidean', 'n_neighbors': 7, 'p': 2, 'weights': 'distance'}",-0.0695696705923853,-0.0697400887579403,-0.07602879219713814,-0.07662642140579386,-0.07354623541306031,-0.07310224167326358,0.0029988264992967073,82,-0.0001312112578419449,-6.426393635909522e-05,-0.00011392473401108439,-0.00014256922829676736,-2.846565325249365e-05,-9.60869619522771e-05,4.3122731143708306e-05
0.0034369468688964845,0.000812428394132363,0.012426233291625977,0.0035840369300864905,auto,10,euclidean,9,1,uniform,"{'algorithm': 'auto', 'leaf_size': 10, 'metric': 'euclidean', 'n_neighbors': 9, 'p': 1, 'weights': 'uniform'}",-0.06977263362253636,-0.07205941766305457,-0.07847277842669609,-0.07806400883534044,-0.07562807235150938,-0.07479938217982737,0.0033945238605271075,106,-0.060159812873658666,-0.05990153935537753,-0.05753108404632196,-0.05820094283286534,-0.059092018684024125,-0.05897707955844952,0.0009959905874578556
0.002436113357543945,0.0007504664677852826,0.01114192008972168,0.00220288370659152,auto,10,euclidean,9,1,distance,"{'algorithm': 'auto', 'leaf_size': 10, 'metric': 'euclidean', 'n_neighbors': 9, 'p': 1, 'weights': 'distance'}",-0.06792182551241081,-0.07082973503991889,-0.07488417155252612,-0.07590441826906529,-0.0721313608939933,-0.07233430225358288,0.002864347063222137,79,-0.0001312112578419449,-6.426393635909522e-05,-0.00011392473401108439,-0.00014256922829676736,-2.846565325249365e-05,-9.60869619522771e-05,4.3122731143708306e-05
