mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_min_samples_split,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.12439284324645997,0.011252736832821181,0.0015279769897460938,0.0005688716539679821,0.01,3,2,50,0.8,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_split': 2, 'n_estimators': 50, 'subsample': 0.8}",-0.20499793357633417,-0.22407769102370087,-0.20883418638450815,-0.22140656078560136,-0.24643479026113282,-0.22115023240625548,0.01456383418755122,59,-0.21955108225465966,-0.2146594385208415,-0.21902048091796322,-0.2154998669672623,-0.21025391921502376,-0.21579695757515008,0.0033642842192955777
0.16692819595336914,0.011388713885478968,0.0012953758239746093,0.0004478724173436645,0.01,3,2,50,1.0,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_split': 2, 'n_estimators': 50, 'subsample': 1.0}",-0.20436310219711734,-0.22368709781863377,-0.2086708965456893,-0.2208252876080056,-0.24702967965500938,-0.22091521276489107,0.014923487917800604,57,-0.21957984254331517,-0.2142274355584439,-0.21900350866471435,-0.21608031085719276,-0.21107032683022026,-0.2159922848907773,0.0031396226338045855
0.2898702144622803,0.010970078394431149,0.0014982223510742188,5.192382263054333e-05,0.01,3,2,100,0.8,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_split': 2, 'n_estimators': 100, 'subsample': 0.8}",-0.18258279700753524,-0.1984897221335732,-0.1818861971445406,-0.19679926716781282,-0.2187923897505798,-0.1957100746408083,0.013454598161703305,30,-0.18968822510893799,-0.185234050501172,-0.19069969933557496,-0.18638288229200506,-0.18207585378074886,-0.18681614220368778,0.003114223461800759
0.358363676071167,0.016987751212782013,0.002425956726074219,0.0013724071950146648,0.01,3,2,100,1.0,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_split': 2, 'n_estimators': 100, 'subsample': 1.0}",-0.18325846764203307,-0.19919053309169857,-0.1823079208358457,-0.1955842426633573,-0.21909385478456597,-0.19588700380350013,0.013367380613622743,31,-0.19052741532697032,-0.18550927001683676,-0.19108247886887467,-0.18742063791912475,-0.18317250643080588,-0.18754246171252248,0.002989544721857128
0.64051194190979,0.01839917559836118,0.002827024459838867,0.0005831735522041676,0.01,3,2,200,0.8,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_split': 2, 'n_estimators': 200, 'subsample': 0.8}",-0.17089335673376008,-0.18905142770356856,-0.16782904617310068,-0.18418302527914604,-0.20375967576654533,-0.18314330633122416,0.01300468709093582,2,-0.17000238224739192,-0.1658203914362083,-0.17183503243789522,-0.16706962308446774,-0.1630559281765136,-0.16755667147649536,0.003091745411825379
0.704083251953125,0.01680744313947399,0.0033421993255615236,0.0013961727778620612,0.01,3,2,200,1.0,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_split': 2, 'n_estimators': 200, 'subsample': 1.0}",-0.17164364945324564,-0.1914624120387464,-0.1685337598544342,-0.18349797069748056,-0.20329236082395646,-0.18368603057357263,0.012802545935002754,6,-0.17141930801007102,-0.16628423952911747,-0.17366084384813607,-0.16890874012277002,-0.16508826350250058,-0.16907227900251903,0.0031697243122879013
0.18173661231994628,0.027510828227560416,0.0011644363403320312,5.0980337358180206e-05,0.01,3,10,50,0.8,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_split': 10, 'n_estimators': 50, 'subsample': 0.8}",-0.20499793357633417,-0.22407769102370087,-0.20883418638450815,-0.22140656078560136,-0.24643479026113282,-0.22115023240625548,0.01456383418755122,59,-0.21955108225465966,-0.2146594385208415,-0.21902048091796322,-0.2154998669672623,-0.21025391921502376,-0.21579695757515008,0.0033642842192955777
0.1851726531982422,0.012127914165429557,0.0016918659210205078,0.0011300659414693658,0.01,3,10,50,1.0,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_split': 10, 'n_estimators': 50, 'subsample': 1.0}",-0.20436310219711734,-0.22368709781863377,-0.2086708965456893,-0.2208252876080056,-0.24702967965500938,-0.22091521276489107,0.014923487917800604,57,-0.21957984254331517,-0.2142274355584439,-0.21900350866471435,-0.21608031085719276,-0.21107032683022026,-0.2159922848907773,0.0031396226338045855
0.3173715114593506,0.04753432263908187,0.0023958683013916016,0.0008399111276191957,0.01,3,10,100,0.8,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_split': 10, 'n_estimators': 100, 'subsample': 0.8}",-0.18258357180032322,-0.19848106491838632,-0.1818861971445406,-0.19679410933254554,-0.2187923897505798,-0.1957074665892751,0.013454006250938956,29,-0.189695624837433,-0.18525722535716896,-0.19069969933557496,-0.1864017765729487,-0.18207585378074886,-0.18682603597677488,0.003112722337244015
0.3365172386169434,0.006509940664539062,0.002330970764160156,0.0008322659726488088,0.01,3,10,100,1.0,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_split': 10, 'n_estimators': 100, 'subsample': 1.0}",-0.18325846764203307,-0.19924309658693526,-0.1823079208358457,-0.1955842426633573,-0.21909385478456597,-0.19589751650254744,0.013369994934749375,32,-0.19052741532697032,-0.18553847959224365,-0.19108247886887467,-0.18742063791912475,-0.18317250643080588,-0.18754830362760383,0.0029855918490996666
