group,rmse,r2,plcc,srcc,status
all_data,0.5304147552154808,0.35284931280405796,0.5941719447051637,0.5416803650910268,success
complexity_1,0.20575967548099858,0.8734173976901476,0.9348492371682104,0.9448037250031164,success
complexity_2,0.25963655663916024,0.6216186260210772,0.7884993722101544,0.7323061786549175,success
complexity_3,0.3441005412118996,0.4554112101860497,0.6756594395414925,0.5235949919318277,success
degradation_DownSample,0.4706874335736165,0.16044430513452645,0.41751823239664365,0.3477210558000435,success
degradation_LocalLoss,0.4409383274141897,0.3294017312291124,0.5843828094681287,0.5661494532070596,success
degradation_Octree,0.45543667997245924,0.4248785743466541,0.6527183538769729,0.6546416022877575,success
degradation_limitlossyG_lossyA,0.52854408326705,0.45957446324576434,0.6787786134229192,0.6860919446440844,success
degradation_lossy_geom_lossy_attrs,0.530113819508772,0.32577734473280395,0.5716603081013198,0.4801714040688192,success
