mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.23511085510253907,0.011118317860234374,0.010217809677124023,0.002260481875175457,,sqrt,1,2,50,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}",-0.1844420256545342,-0.2075533557845338,-0.18926519120283702,-0.20422121024504594,-0.21857507445680505,-0.20081137146875122,0.012441063121460198,70,-0.03064613580827868,-0.02992180622562391,-0.030984789543427697,-0.0294120479753883,-0.029057349898044125,-0.030004425890152543,0.0007249268996774587
0.8276004791259766,0.024943857745279904,0.024858808517456053,0.0022995717915969198,,sqrt,1,2,150,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 150}",-0.18270956000834038,-0.2037966368431634,-0.18476673419456024,-0.20147863725124865,-0.21761926939673035,-0.19807416753880863,0.012957677433673633,61,-0.02909132238205657,-0.027875401601413503,-0.02940146183315855,-0.02785403627173434,-0.027609201648586778,-0.028366284747389947,0.000731274333323956
1.4274900436401368,0.07298640163078571,0.07053494453430176,0.010030987345290562,,sqrt,1,2,300,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",-0.18487859200163906,-0.20659771009078232,-0.1848879812623006,-0.2004376573464942,-0.21810809116829818,-0.1989820063739029,0.012833338016447239,64,-0.02837143405544326,-0.027636495809641285,-0.02889135989729546,-0.02751162202874608,-0.026963270911026068,-0.02787483654043043,0.0006781757602762925
0.17218546867370604,0.011058832791242637,0.005331707000732422,0.0012498012656485705,,sqrt,1,10,50,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 50}",-0.17588149437463202,-0.19477983858121325,-0.17992049194441462,-0.1942049493686826,-0.21091543726768788,-0.19114044230732607,0.012429075690562737,44,-0.08265595480188916,-0.08118538001782699,-0.08369513922350705,-0.08098189734494597,-0.08043929867096267,-0.08179153401182636,0.0012018661088582193
0.5538061618804931,0.03694682232958012,0.014676284790039063,0.0030068910477865983,,sqrt,1,10,150,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 150}",-0.17704511976690782,-0.19477168640264306,-0.17629091081040932,-0.1933707994058927,-0.21019626441536518,-0.1903349561602436,0.012627172654325829,40,-0.08125060213597612,-0.0806006812318493,-0.08213494866499788,-0.07964484888075936,-0.07910863744036822,-0.08054794367079018,0.0010864877031422284
0.9765451431274415,0.02087073989213446,0.03053879737854004,0.0034413166747395995,,sqrt,1,10,300,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 300}",-0.17573016308578085,-0.195296314996367,-0.17664089425104693,-0.1910106472134821,-0.20946819283751106,-0.1896292424768376,0.012565743423726213,31,-0.08149806922195907,-0.08051706808043885,-0.08187586979749524,-0.07946949802451841,-0.0786377582264268,-0.08039965267016766,0.00121400016495399
0.15428576469421387,0.019317665002013838,0.00559382438659668,0.001111998539549851,,sqrt,4,2,50,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 50}",-0.17581491571287783,-0.1991558419811592,-0.17942631305600482,-0.1904146382582643,-0.20570564813679362,-0.19010347142901995,0.011345789446355862,35,-0.1044938851885251,-0.10118855080072106,-0.10311373848925673,-0.10113756480863292,-0.1007439622332437,-0.1021355403040759,0.001438603212820602
0.456191873550415,0.011916284755710105,0.015554380416870118,0.003506478622505542,,sqrt,4,2,150,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 150}",-0.17505953453731402,-0.195239004723507,-0.17740679662169206,-0.1903645836761831,-0.20682178683372768,-0.18897834127848476,0.011722968488246825,28,-0.10281669165424526,-0.10065935425583625,-0.10287133093854595,-0.09988872162505759,-0.09863105157139511,-0.10097343000901601,0.0016590125998967146
0.9111045837402344,0.011382588513417221,0.03149490356445313,0.0014064135512353762,,sqrt,4,2,300,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 300}",-0.17390711483377505,-0.195501912256994,-0.17651139577693695,-0.1897437607361722,-0.20657142821622695,-0.18844712236402103,0.012114579499658005,21,-0.10275396398420047,-0.10046609100988435,-0.10257897845791906,-0.09953778512111665,-0.09838438878228459,-0.10074424147108103,0.001703352794160021
0.1513369083404541,0.010791683200813966,0.004158878326416015,0.00017970148433733176,,sqrt,4,10,50,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 50}",-0.17173985999682173,-0.19666901358432667,-0.17791123580993243,-0.19163486911543146,-0.2064269455061643,-0.1888763848025353,0.01257180539854066,26,-0.10813830896660023,-0.106427762172972,-0.1083642641565994,-0.10509765541911432,-0.10482838252754458,-0.10657127464856611,0.0014764979064932195
