mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_algorithm,param_leaf_size,param_metric,param_n_neighbors,param_p,param_weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.004260110855102539,0.004592620158278459,0.005300188064575195,0.003163929600122007,auto,10,euclidean,3,1,uniform,"{'algorithm': 'auto', 'leaf_size': 10, 'metric': 'euclidean', 'n_neighbors': 3, 'p': 1, 'weights': 'uniform'}",-0.33320279709961814,-0.30530708863536604,-0.3133570961539942,-0.3300884341013806,-0.35851158204671424,-0.3280933996074146,0.01839416502841136,157,-0.16987681825567968,-0.16697436768465013,-0.1697915312878325,-0.1650507201166518,-0.1621409802167232,-0.16676688351230745,0.002939640660233169
0.005257511138916015,0.002988560356989123,0.006511497497558594,0.0009603650519022073,auto,10,euclidean,3,1,distance,"{'algorithm': 'auto', 'leaf_size': 10, 'metric': 'euclidean', 'n_neighbors': 3, 'p': 1, 'weights': 'distance'}",-0.34836919594485644,-0.32426800936458167,-0.3330097892609192,-0.35271766271730093,-0.37044271808083534,-0.3457614750736987,0.016055697246205407,166,-0.0012983080314716395,-0.00047421117349149053,-0.0004896841632590111,-0.0010413981945676476,-0.0008632898865768602,-0.0008333782898733297,0.00031857599380627656
0.004448509216308594,0.0030680311494597906,0.007739591598510742,0.001810585660348067,auto,10,euclidean,3,2,uniform,"{'algorithm': 'auto', 'leaf_size': 10, 'metric': 'euclidean', 'n_neighbors': 3, 'p': 2, 'weights': 'uniform'}",-0.33320279709961814,-0.30530708863536604,-0.3133570961539942,-0.3300884341013806,-0.35851158204671424,-0.3280933996074146,0.01839416502841136,157,-0.16987681825567968,-0.16697436768465013,-0.1697915312878325,-0.1650507201166518,-0.1621409802167232,-0.16676688351230745,0.002939640660233169
0.002475881576538086,0.0009238014083477698,0.005805873870849609,0.0020654146029694966,auto,10,euclidean,3,2,distance,"{'algorithm': 'auto', 'leaf_size': 10, 'metric': 'euclidean', 'n_neighbors': 3, 'p': 2, 'weights': 'distance'}",-0.34836919594485644,-0.32426800936458167,-0.3330097892609192,-0.35271766271730093,-0.37044271808083534,-0.3457614750736987,0.016055697246205407,166,-0.0012983080314716395,-0.00047421117349149053,-0.0004896841632590111,-0.0010413981945676476,-0.0008632898865768602,-0.0008333782898733297,0.00031857599380627656
0.0028223514556884764,0.0008766869780091823,0.011237430572509765,0.003175682961685606,auto,10,euclidean,7,1,uniform,"{'algorithm': 'auto', 'leaf_size': 10, 'metric': 'euclidean', 'n_neighbors': 7, 'p': 1, 'weights': 'uniform'}",-0.2799263163590797,-0.28780137633983727,-0.2708313109875477,-0.2914557162116799,-0.3021089306421163,-0.2864247301080522,0.010569618948057398,100,-0.21615351924690068,-0.2165308590732442,-0.21478933291275706,-0.21364087508870394,-0.21068739910523568,-0.2143603970853683,0.0021032738450688093
0.0033928871154785155,0.0022377906941888443,0.010166311264038086,0.005174249287584554,auto,10,euclidean,7,1,distance,"{'algorithm': 'auto', 'leaf_size': 10, 'metric': 'euclidean', 'n_neighbors': 7, 'p': 1, 'weights': 'distance'}",-0.2950050477150455,-0.295426622052213,-0.28716060277244443,-0.30511992582286035,-0.3174753039416696,-0.30003750046084654,0.010414492903754324,130,-0.0012983080314716395,-0.00047421117349149053,-0.0004896841632590111,-0.0010413981945676476,-0.0008632898865768602,-0.0008333782898733297,0.00031857599380627656
0.0031516551971435547,0.0005987998499727649,0.012896251678466798,0.005039347807773813,auto,10,euclidean,7,2,uniform,"{'algorithm': 'auto', 'leaf_size': 10, 'metric': 'euclidean', 'n_neighbors': 7, 'p': 2, 'weights': 'uniform'}",-0.2799263163590797,-0.28780137633983727,-0.2708313109875477,-0.2914557162116799,-0.3021089306421163,-0.2864247301080522,0.010569618948057398,100,-0.21615351924690068,-0.2165308590732442,-0.21478933291275706,-0.21364087508870394,-0.21068739910523568,-0.2143603970853683,0.0021032738450688093
0.00273590087890625,0.0007168507022462814,0.008614683151245117,0.002308371010408605,auto,10,euclidean,7,2,distance,"{'algorithm': 'auto', 'leaf_size': 10, 'metric': 'euclidean', 'n_neighbors': 7, 'p': 2, 'weights': 'distance'}",-0.2950050477150455,-0.295426622052213,-0.28716060277244443,-0.30511992582286035,-0.3174753039416696,-0.30003750046084654,0.010414492903754324,130,-0.0012983080314716395,-0.00047421117349149053,-0.0004896841632590111,-0.0010413981945676476,-0.0008632898865768602,-0.0008333782898733297,0.00031857599380627656
0.0023647308349609374,0.0006135039134361166,0.011650657653808594,0.0027270050751235556,auto,10,euclidean,9,1,uniform,"{'algorithm': 'auto', 'leaf_size': 10, 'metric': 'euclidean', 'n_neighbors': 9, 'p': 1, 'weights': 'uniform'}",-0.2721096522327201,-0.2740847716989777,-0.2604862398005669,-0.28051876418691635,-0.2997081617996568,-0.2773815179437676,0.012902967621999493,76,-0.2237077511420847,-0.22353244604163042,-0.2239914054876733,-0.22179801430752435,-0.22091151768609993,-0.22278822693300251,0.0012124012642867703
0.002598094940185547,0.0007824716937842547,0.00990610122680664,0.0028375465390114017,auto,10,euclidean,9,1,distance,"{'algorithm': 'auto', 'leaf_size': 10, 'metric': 'euclidean', 'n_neighbors': 9, 'p': 1, 'weights': 'distance'}",-0.2865563532614153,-0.28309267525710835,-0.27675047533396696,-0.2939379271776855,-0.31328134849259776,-0.2907237559045548,0.012570036490666162,124,-0.0012983080314716395,-0.00047421117349149053,-0.0004896841632590111,-0.0010413981945676476,-0.0008632898865768602,-0.0008333782898733297,0.00031857599380627656
