mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_max_iter,param_selection,param_tol,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.02073197364807129,0.002782028054361711,0.0012986183166503907,0.000529834264802118,0.0001,1000,cyclic,0.0001,"{'alpha': 0.0001, 'max_iter': 1000, 'selection': 'cyclic', 'tol': 0.0001}",-0.06435316169082778,-0.06661036606094911,-0.06557055335718368,-0.07360892949431078,-0.07410135430379133,-0.06884887298141254,0.004152503120956831,1,-0.06949449956385491,-0.06885528210469978,-0.06912547017376702,-0.06714744057765935,-0.06709085531060419,-0.06834270954611706,0.001019595214474943
0.025208759307861327,0.005188041143726556,0.0015424251556396484,0.0009451151805353279,0.0001,5000,cyclic,0.0001,"{'alpha': 0.0001, 'max_iter': 5000, 'selection': 'cyclic', 'tol': 0.0001}",-0.06435316169082778,-0.06661036606094911,-0.06557055335718368,-0.07360892949431078,-0.07410135430379133,-0.06884887298141254,0.004152503120956831,1,-0.06949449956385491,-0.06885528210469978,-0.06912547017376702,-0.06714744057765935,-0.06709085531060419,-0.06834270954611706,0.001019595214474943
0.028163766860961913,0.007384407420367603,0.0015803813934326173,0.0009776312434691757,0.0001,10000,cyclic,0.0001,"{'alpha': 0.0001, 'max_iter': 10000, 'selection': 'cyclic', 'tol': 0.0001}",-0.06435316169082778,-0.06661036606094911,-0.06557055335718368,-0.07360892949431078,-0.07410135430379133,-0.06884887298141254,0.004152503120956831,1,-0.06949449956385491,-0.06885528210469978,-0.06912547017376702,-0.06714744057765935,-0.06709085531060419,-0.06834270954611706,0.001019595214474943
0.04226703643798828,0.004382156434274044,0.001184368133544922,0.0005422812127647774,0.0001,1000,random,0.0001,"{'alpha': 0.0001, 'max_iter': 1000, 'selection': 'random', 'tol': 0.0001}",-0.06435350761493508,-0.06661040679683926,-0.0655702231902526,-0.07360907195800971,-0.0741011745393075,-0.06884887681986883,0.004152463149564726,4,-0.06949453248612365,-0.06885530307191194,-0.06912550403465546,-0.06714745606246504,-0.06709087712622935,-0.06834273455627708,0.0010196009723058347
0.042523431777954104,0.007778745510692899,0.0012390613555908203,0.0008071195817607168,0.0001,5000,random,0.0001,"{'alpha': 0.0001, 'max_iter': 5000, 'selection': 'random', 'tol': 0.0001}",-0.06435350761493508,-0.06661040679683926,-0.0655702231902526,-0.07360907195800971,-0.0741011745393075,-0.06884887681986883,0.004152463149564726,4,-0.06949453248612365,-0.06885530307191194,-0.06912550403465546,-0.06714745606246504,-0.06709087712622935,-0.06834273455627708,0.0010196009723058347
0.06221837997436523,0.02890173660553718,0.0012009143829345703,0.00042127063845445305,0.0001,10000,random,0.0001,"{'alpha': 0.0001, 'max_iter': 10000, 'selection': 'random', 'tol': 0.0001}",-0.06435350761493508,-0.06661040679683926,-0.0655702231902526,-0.07360907195800971,-0.0741011745393075,-0.06884887681986883,0.004152463149564726,4,-0.06949453248612365,-0.06885530307191194,-0.06912550403465546,-0.06714745606246504,-0.06709087712622935,-0.06834273455627708,0.0010196009723058347
0.022783517837524414,0.004121594607421605,0.0024626731872558595,0.0007755892978430367,0.0001,1000,cyclic,0.001,"{'alpha': 0.0001, 'max_iter': 1000, 'selection': 'cyclic', 'tol': 0.001}",-0.06435414389964814,-0.06661059336337315,-0.06556950533564336,-0.07360960291147527,-0.07410096225957209,-0.0688489615539424,0.004152486689602631,7,-0.06949463913212758,-0.06885541573719231,-0.06912562084069604,-0.06714757445860532,-0.06709098483396712,-0.06834284700051768,0.0010196001218725477
0.024506330490112305,0.005488531210839428,0.001553964614868164,0.000656902149620848,0.0001,5000,cyclic,0.001,"{'alpha': 0.0001, 'max_iter': 5000, 'selection': 'cyclic', 'tol': 0.001}",-0.06435414389964814,-0.06661059336337315,-0.06556950533564336,-0.07360960291147527,-0.07410096225957209,-0.0688489615539424,0.004152486689602631,7,-0.06949463913212758,-0.06885541573719231,-0.06912562084069604,-0.06714757445860532,-0.06709098483396712,-0.06834284700051768,0.0010196001218725477
0.02115483283996582,0.005071338486432331,0.0021505832672119142,0.0015822599121445655,0.0001,10000,cyclic,0.001,"{'alpha': 0.0001, 'max_iter': 10000, 'selection': 'cyclic', 'tol': 0.001}",-0.06435414389964814,-0.06661059336337315,-0.06556950533564336,-0.07360960291147527,-0.07410096225957209,-0.0688489615539424,0.004152486689602631,7,-0.06949463913212758,-0.06885541573719231,-0.06912562084069604,-0.06714757445860532,-0.06709098483396712,-0.06834284700051768,0.0010196001218725477
0.05006165504455566,0.009888446985882456,0.002341461181640625,0.001535516162508545,0.0001,1000,random,0.001,"{'alpha': 0.0001, 'max_iter': 1000, 'selection': 'random', 'tol': 0.001}",-0.06435529977192266,-0.06661075085454762,-0.06556866428208416,-0.07361002748640186,-0.07410049605699384,-0.06884904769039002,0.004152331801547153,10,-0.06949474691419284,-0.0688554949244178,-0.06912573189621589,-0.06714763458173088,-0.0670910373672137,-0.06834292913675422,0.0010196224904580492
