group,rmse,mae,r2,plcc,srcc,status
all_data,0.5060539535491145,0.4131429726433805,0.41092869580831226,0.6411237984554936,0.557896794025827,success
complexity_1,0.19057027927368048,0.13869544236193837,0.8914165020678552,0.9442320835354335,0.9478896071993004,success
complexity_2,0.17041092210993666,0.12841357417449498,0.8369980044631726,0.914949032801526,0.7802282146305005,success
complexity_3,0.2178090186886659,0.16895834953452754,0.7818025340235006,0.8847321011989473,0.5481842805915124,success
degradation_DownSample,0.44431797270062995,0.33526649186929414,0.25187862007144446,0.5075457234266171,0.35103845503383346,success
degradation_LocalLoss,0.435447411375663,0.34876609893637556,0.3459993900060836,0.6035210645046165,0.5916742923963912,success
degradation_Octree,0.3979936146703202,0.28596525629739433,0.5608066596352831,0.749136399581854,0.6993136237845846,success
degradation_limitlossyG_lossyA,0.5023477127956668,0.40176011509847026,0.5118174067970072,0.7162471329266994,0.7076783160365064,success
degradation_lossy_geom_lossy_attrs,0.5010672869590943,0.404440906963755,0.3976385227764694,0.6329745621930365,0.49809883603628274,success
