group,status,best_kernel,rmse,mae,r2,plcc,srcc
all_data,success,rbf,0.5102049038092598,0.40902990772761233,0.40122524751334565,0.6354538309458253,0.5549137347487542
complexity_1,success,rbf,0.19307967701601003,0.14099502750884363,0.8885380556920334,0.9427677901958688,0.9467258879296371
complexity_2,success,rbf,0.17257079683843396,0.12920073432921125,0.832839878858243,0.9127142880218255,0.7750842537674556
complexity_3,success,rbf,0.22661023218502288,0.1754168619715823,0.7638124411687112,0.8741544760826034,0.5301331545688472
degradation_DownSample,success,rbf,0.4566231240951074,0.32583895288176173,0.20986717078831718,0.4913985944544358,0.33254383239114316
degradation_LocalLoss,success,linear,0.4386034111879694,0.3367477504707673,0.33648501244309903,0.5898628402988915,0.5690685922384319
degradation_Octree,success,rbf,0.41309686784824323,0.29682353216794705,0.5268407425361785,0.7269641644898215,0.6856849920420052
degradation_limitlossyG_lossyA,success,rbf,0.5125159871443503,0.41191442502517167,0.4918542873362828,0.7058035534116338,0.6977927516964307
degradation_lossy_geom_lossy_attrs,success,rbf,0.5145573524525374,0.405560651712871,0.3647675636542842,0.6070142824307647,0.47967534018790786
