mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_epsilon,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.1390702247619629,0.016827165883697797,0.016857481002807616,0.005236283569280353,0.1,0.01,scale,linear,"{'C': 0.1, 'epsilon': 0.01, 'gamma': 'scale', 'kernel': 'linear'}",-0.21279846337507735,-0.23357641289732228,-0.21856899799355456,-0.2310612195227692,-0.2761049360901946,-0.2344220059757836,0.022218784993105065,23,-0.23487599089149586,-0.233473441822705,-0.23776625996386427,-0.23346971617161943,-0.2254827430199723,-0.23301363037393133,0.004078960158613608
0.11372113227844238,0.014602049850874134,0.053462791442871097,0.01113082631623912,0.1,0.01,scale,rbf,"{'C': 0.1, 'epsilon': 0.01, 'gamma': 'scale', 'kernel': 'rbf'}",-0.1983467373097399,-0.22426174363939966,-0.19624005692489196,-0.20727034027069063,-0.24868031107378336,-0.21495983784370112,0.019540467989369092,8,-0.21039758865573843,-0.20785164825769864,-0.2115135414110121,-0.20914272352471686,-0.20366297069466807,-0.2085136945087668,0.0027170440870928018
0.14136481285095215,0.012527367818023044,0.022261571884155274,0.00345160507397801,0.1,0.01,scale,sigmoid,"{'C': 0.1, 'epsilon': 0.01, 'gamma': 'scale', 'kernel': 'sigmoid'}",-9.982031370017822,-7.602368560562988,-9.549521256615508,-7.958058581141649,-6.906584455456139,-8.39971284475882,1.1735450636773033,28,-8.179335565141551,-8.482463951301499,-7.996849666620383,-8.751453271462898,-9.164508143677569,-8.514922119640781,0.4147239861009725
0.1124150276184082,0.008870422064077682,0.011882209777832031,0.0020273746224856084,0.1,0.01,auto,linear,"{'C': 0.1, 'epsilon': 0.01, 'gamma': 'auto', 'kernel': 'linear'}",-0.21279846337507735,-0.23357641289732228,-0.21856899799355456,-0.2310612195227692,-0.2761049360901946,-0.2344220059757836,0.022218784993105065,23,-0.23487599089149586,-0.233473441822705,-0.23776625996386427,-0.23346971617161943,-0.2254827430199723,-0.23301363037393133,0.004078960158613608
0.11905813217163086,0.01029921854594049,0.04306483268737793,0.009727722515511853,0.1,0.01,auto,rbf,"{'C': 0.1, 'epsilon': 0.01, 'gamma': 'auto', 'kernel': 'rbf'}",-0.19840448710943673,-0.22421759083720025,-0.1962292531783128,-0.20722711061791135,-0.24860894805173175,-0.21493747795891854,0.019507309494898855,7,-0.21045786890317367,-0.20778956308530672,-0.21155315606654654,-0.20908246569927486,-0.20358045219721768,-0.2084927011903039,0.0027640797285910725
0.13827857971191407,0.00783555634378738,0.025260019302368163,0.0038870756799059564,0.1,0.01,auto,sigmoid,"{'C': 0.1, 'epsilon': 0.01, 'gamma': 'auto', 'kernel': 'sigmoid'}",-9.60387294541807,-7.68683111136927,-9.357596857419566,-8.085048040809525,-7.048101510313088,-8.356290093065905,0.9789977688386152,27,-7.940125326173788,-8.569184224974519,-7.8298648301873754,-8.89256948897899,-9.35000904110905,-8.516350582284744,0.573169559403887
0.08432345390319824,0.012161655586010353,0.00898275375366211,0.00352742735643779,0.1,0.2,scale,linear,"{'C': 0.1, 'epsilon': 0.2, 'gamma': 'scale', 'kernel': 'linear'}",-0.20728494302363507,-0.22202157924328314,-0.20922779272790776,-0.22252027817675304,-0.2644914567947181,-0.2251092099932594,0.020674241471407704,11,-0.22649546505521198,-0.22407477289099012,-0.2282459901543433,-0.2242391484987441,-0.21670153463636252,-0.2239513822471304,0.003938891708513664
0.06960005760192871,0.015885187826529645,0.030516767501831056,0.0020287253323412716,0.1,0.2,scale,rbf,"{'C': 0.1, 'epsilon': 0.2, 'gamma': 'scale', 'kernel': 'rbf'}",-0.1901307534543351,-0.214070079967842,-0.1893781973424666,-0.20015240050867616,-0.23510506708041995,-0.20576729967074797,0.017171325531542124,3,-0.20093866822070233,-0.19773749958036527,-0.2041655051863316,-0.19888720321004708,-0.194417608773175,-0.19922929699412423,0.003249090104121213
0.15746593475341797,0.02051294152071231,0.026332330703735352,0.005957465007239495,0.1,0.2,scale,sigmoid,"{'C': 0.1, 'epsilon': 0.2, 'gamma': 'scale', 'kernel': 'sigmoid'}",-9.340352712008253,-8.19185282183951,-9.411908763950073,-7.803958073212196,-6.755352126563557,-8.300684899514717,0.99622918823756,26,-8.108490223071897,-8.310880083191607,-7.8957802831599455,-8.55632905099346,-8.918661010470654,-8.358028130177512,0.3554708593265694
0.08894000053405762,0.014677666966937957,0.008278608322143555,0.001925603915895504,0.1,0.2,auto,linear,"{'C': 0.1, 'epsilon': 0.2, 'gamma': 'auto', 'kernel': 'linear'}",-0.20728494302363507,-0.22202157924328314,-0.20922779272790776,-0.22252027817675304,-0.2644914567947181,-0.2251092099932594,0.020674241471407704,11,-0.22649546505521198,-0.22407477289099012,-0.2282459901543433,-0.2242391484987441,-0.21670153463636252,-0.2239513822471304,0.003938891708513664
0.06637277603149414,0.008282616655253922,0.028150033950805665,0.003433625182992148,0.1,0.2,auto,rbf,"{'C': 0.1, 'epsilon': 0.2, 'gamma': 'auto', 'kernel': 'rbf'}",-0.19014552839236942,-0.21410242665293966,-0.18939765270824488,-0.20016004654439634,-0.23508502528531783,-0.2057781359166536,0.01716070602902619,4,-0.20100161383868348,-0.19771364106234027,-0.2041870850180391,-0.19886310547180594,-0.1943847261616034,-0.19923003431049444,0.00327481120235308
