mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_l1_ratio,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.018156814575195312,0.00405127123033852,0.0012042522430419922,0.0005378773237563277,0.0001,0.1,"{'alpha': 0.0001, 'l1_ratio': 0.1}",-0.2598432265002221,-0.26890427896044145,-0.26033094120333944,-0.27986984259009573,-0.2952795704751049,-0.2728455719458407,0.013370380908559666,6,-0.27416616708521613,-0.2719180819056379,-0.2741388760374197,-0.26923022818649095,-0.2656198909901905,-0.271014648840991,0.0032495114544148257
0.021228790283203125,0.005772610242798675,0.0018410205841064454,0.001466694565366846,0.0001,0.3,"{'alpha': 0.0001, 'l1_ratio': 0.3}",-0.25984503876491205,-0.2689084288965356,-0.2603150889591391,-0.2798630816170661,-0.29529262188949834,-0.2728448520254302,0.013376422936095526,5,-0.2741665193703302,-0.2719184307636621,-0.2741392312257403,-0.2692305744637185,-0.26562024890455666,-0.27101500094560155,0.0032495106128309402
0.019599485397338866,0.006152884914790898,0.0015870094299316405,0.0012334308953444212,0.0001,0.5,"{'alpha': 0.0001, 'l1_ratio': 0.5}",-0.25984695854572676,-0.2689127035152145,-0.2602992597239125,-0.27985639169192866,-0.29530585307295365,-0.27284423330994717,0.013382504755461107,4,-0.27416697069888274,-0.2719188812411482,-0.27413967078551,-0.26923101334652355,-0.265620719729445,-0.2710154511603019,0.003249503195932801
0.018412446975708006,0.0036228182316579475,0.0021412849426269533,0.0018324353642850482,0.0001,0.7,"{'alpha': 0.0001, 'l1_ratio': 0.7}",-0.2598489842740352,-0.2689171065483193,-0.2602834639217227,-0.27984976855277055,-0.29531926237735856,-0.2728437171348413,0.013388623558967262,3,-0.274167521424577,-0.2719194345858118,-0.2741401952745311,-0.2692315462362499,-0.2656213045602672,-0.2710160004162874,0.0032494889313935483
0.017442655563354493,0.003886408372557469,0.0013307094573974609,0.0005900759281881576,0.0001,0.9,"{'alpha': 0.0001, 'l1_ratio': 0.9}",-0.2598511201802938,-0.2689216318924003,-0.26026767867788136,-0.27984322223109426,-0.29533285759434336,-0.2728433021152026,0.013394786902983577,2,-0.2741681734628954,-0.2719200912360974,-0.27414080633823645,-0.2692321732946961,-0.2656220047833666,-0.2710166498230584,0.0032494680535472852
0.016255807876586915,0.004736681419123477,0.001700448989868164,0.001691745859455807,0.0001,1.0,"{'alpha': 0.0001, 'l1_ratio': 1.0}",-0.2598522293145198,-0.268923945825306,-0.26025981492161837,-0.2798399805654776,-0.2953397247077534,-0.272843139066935,0.01339788054027307,1,-0.2741685376829868,-0.2719204590899931,-0.274141143671539,-0.2692325220768334,-0.26562239853450587,-0.27101701221117164,0.003249454975962257
0.017181968688964842,0.005091308133905461,0.0011641979217529297,0.00040895966046856414,0.001,0.1,"{'alpha': 0.001, 'l1_ratio': 0.1}",-0.25993347752512425,-0.2690458836511955,-0.25988199058939154,-0.2797167331356621,-0.2957191314422535,-0.2728594432687254,0.013561901585807846,7,-0.27420797587253887,-0.27195752892147435,-0.2741913778420976,-0.2692742180559351,-0.2656564343613607,-0.2710575070106814,0.003252947744332886
0.017618131637573243,0.00806093781405332,0.001078319549560547,0.0004509477367192937,0.001,0.3,"{'alpha': 0.001, 'l1_ratio': 0.3}",-0.25998098893333577,-0.2691145781567578,-0.25975476691961075,-0.27967620324846243,-0.2958790931422208,-0.27288112608007753,0.013623371749964927,8,-0.2742407870953702,-0.2719899358751271,-0.27422479626484486,-0.26930662306398845,-0.26568948018149635,-0.2710903244961654,0.003253009025540423
0.017011642456054688,0.005049621348990074,0.0015377998352050781,0.001292559934934362,0.001,0.5,"{'alpha': 0.001, 'l1_ratio': 0.5}",-0.26004035908965756,-0.2691968560943873,-0.2596316557892538,-0.27964390110368753,-0.2960582453360277,-0.27291420348260276,0.01368879919984838,9,-0.2742847097342351,-0.27203369437018377,-0.27426806564125844,-0.2693495105190955,-0.26573501474643835,-0.2711341990022422,0.0032524524135023477
0.011899662017822266,0.0030549555260069587,0.0009053230285644531,0.00040483795991483334,0.001,0.7,"{'alpha': 0.001, 'l1_ratio': 0.7}",-0.2601127818814589,-0.26929404924121564,-0.2595133801751691,-0.279620633471401,-0.296258440793053,-0.2729598571124595,0.013758511362719418,10,-0.2743408828304037,-0.2720899645853281,-0.27432210790161876,-0.2694039129413555,-0.2657943473584689,-0.271190243123435,0.0032511927930140958
0.010297632217407227,0.004594094475482609,0.0008575916290283203,0.00036985987214507285,0.001,0.9,"{'alpha': 0.001, 'l1_ratio': 0.9}",-0.26019958522018427,-0.26940761240130434,-0.25940057309045395,-0.2796073226658188,-0.296481618677565,-0.2730193424110653,0.01383287054336269,11,-0.2744105796922276,-0.27216003569673175,-0.2743880126578547,-0.26947093425282037,-0.26586891813981306,-0.27125969608788947,0.0032491598683143507
0.013127899169921875,0.0032794487414813766,0.0015019893646240235,0.001008666596847696,0.001,1.0,"{'alpha': 0.001, 'l1_ratio': 1.0}",-0.2602487241762217,-0.26947104639623537,-0.25934645136295204,-0.27960471258439484,-0.29660249234006086,-0.2730546853719729,0.013871934685481958,12,-0.2744508447983973,-0.2722006985287529,-0.27442579153074204,-0.26950956402305415,-0.265912412543321,-0.2712998622848534,0.0032478119703278235
