mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.16970481872558593,0.012273573820383455,0.008748054504394531,0.004055009427634888,,sqrt,1,2,50,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}",-0.23192982619918,-0.24316557942870382,-0.2886655457835518,-0.2421102976846889,-0.21795723782453405,-0.24476569738413173,0.02374978445191622,69,-0.03591540024935555,-0.03555294130326219,-0.03471913694141051,-0.035345282820291424,-0.03563025020465053,-0.03543260230379404,0.00040082353704956315
0.48972382545471194,0.02803296713502037,0.016480779647827147,0.003281428156395896,,sqrt,1,2,150,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 150}",-0.23228107153947322,-0.24295357518892133,-0.28420233781276427,-0.24188444754272842,-0.2167545657887615,-0.24361519957452976,0.02236383305912018,63,-0.03433728472472377,-0.0333420867869051,-0.03278100203185067,-0.03376789097469799,-0.03422754358500537,-0.03369116162063658,0.0005764220307576151
0.9992234230041503,0.02935560595069589,0.03647017478942871,0.003539610483656913,,sqrt,1,2,300,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",-0.22748876038459695,-0.24103646226796877,-0.28415004710787956,-0.24576809254550483,-0.22032652191749424,-0.24375397684468886,0.022166131602510075,65,-0.03394760452025079,-0.03273548672530738,-0.03232676420888793,-0.033043089279831114,-0.033554388324636475,-0.03312146661178274,0.0005756041072407939
0.13385214805603027,0.010145435348375184,0.00517582893371582,0.0017998023511512414,,sqrt,1,10,50,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 50}",-0.22792841705256897,-0.22872524666920946,-0.2789663461670405,-0.23961673593007987,-0.21469021358365048,-0.23798539188050985,0.021962050275643474,57,-0.09936236642606491,-0.09580036040978998,-0.09207086739932928,-0.09691542168249836,-0.09671653666610588,-0.0961731105167577,0.0023657993295443693
0.40614752769470214,0.016375165076437975,0.014338302612304687,0.002711760594859996,,sqrt,1,10,150,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 150}",-0.22218730309655657,-0.22382109926368055,-0.2715724970275894,-0.2364813061274854,-0.21506206078596404,-0.2338248532602552,0.020097220708800916,47,-0.09751641904456722,-0.09540732192203243,-0.09002830417923742,-0.09551494568161503,-0.09576217929984705,-0.09484583402545982,0.002527579311982775
0.8213640213012695,0.039802776836140814,0.029146480560302734,0.003019942479940266,,sqrt,1,10,300,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 300}",-0.21947553192550548,-0.22622628157992408,-0.2740966972031306,-0.23558285227614306,-0.21661026687632537,-0.23439832597220572,0.02089617629644826,49,-0.09732360769096789,-0.09541393866546821,-0.09033812922872998,-0.09514773511548501,-0.09505618400753359,-0.09465591894163693,0.002312425585472756
0.13582935333251953,0.01382743484839459,0.00736083984375,0.002792285620380665,,sqrt,4,2,50,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 50}",-0.21954390684741013,-0.22386051657197886,-0.27201227990640325,-0.2344248320951167,-0.21484465782429601,-0.232937238649041,0.020582426896933723,39,-0.11972941431947787,-0.11823725137867383,-0.11176122491706746,-0.11721773912244793,-0.11788773599995524,-0.11696667314752447,0.002729658953295715
0.38646416664123534,0.020663288711366613,0.01312084197998047,0.003628895859841713,,sqrt,4,2,150,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 150}",-0.21948687049640164,-0.22198970267721096,-0.268665630904625,-0.23145753413016854,-0.21587593361339635,-0.23149513436436048,0.019288122208281116,26,-0.11814082272957396,-0.11746507521581506,-0.11138412332902407,-0.11737027770377434,-0.11722740793971768,-0.11631754138358101,0.002486600626301948
0.7585537433624268,0.02637712303095388,0.027516889572143554,0.002507416965808451,,sqrt,4,2,300,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 300}",-0.21876448249292266,-0.22265355702202708,-0.2694043359468656,-0.23317708267753876,-0.21538146480675388,-0.23187618458922157,0.0196931655757312,32,-0.1183478887427255,-0.11679977770265995,-0.11153687482824842,-0.11650420473166752,-0.11728945173766069,-0.11609563954859241,0.002364017165738396
0.12281522750854493,0.00812173796784401,0.005287981033325196,0.0014390568257439305,,sqrt,4,10,50,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 50}",-0.21870967022411283,-0.22242729972559275,-0.2716806759272742,-0.23453538339291669,-0.21869255014054703,-0.23320911588208867,0.020094935097034593,41,-0.12628746100398572,-0.123379697128369,-0.11810677475717617,-0.12290765603767675,-0.12480522300174328,-0.1230973623857902,0.002760984728736963
