group,rmse,mae,r2,plcc,srcc,status
all_data,0.5303554222611442,0.443838749212782,0.35299408711209823,0.5942770550040144,0.5417466977658999,success
complexity_1,0.20569224690243557,0.1497721123459947,0.8735003477278036,0.9348664088571157,0.9448526211850149,success
complexity_2,0.2596907225441567,0.20510158315787205,0.6214607321735122,0.7883642733354114,0.7319322674104245,success
complexity_3,0.3441021945038294,0.2628344896233702,0.4554059770270953,0.6756606448950639,0.5235759406598213,success
degradation_DownSample,0.47072591765036603,0.3665678809551896,0.16030701297702032,0.4173222620445281,0.34761320697483217,success
degradation_LocalLoss,0.4391558148165003,0.3581716875050348,0.3348126182429565,0.5885029717270179,0.5703112049052035,success
degradation_Octree,0.45568204108048627,0.34970353991158626,0.42425872773447193,0.6525317130391726,0.6548305845912991,success
degradation_limitlossyG_lossyA,0.5284765687152683,0.4460106317240526,0.4597125189300477,0.6789219038537726,0.6863436312591613,success
degradation_lossy_geom_lossy_attrs,0.53011576887192,0.43580853836342215,0.3257723861478137,0.5716612859980292,0.4801957488976818,success
