mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_l1_ratio,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.00913100242614746,0.0012706546425978115,0.0009459972381591797,0.0002487531718666658,0.0001,0.1,"{'alpha': 0.0001, 'l1_ratio': 0.1}",-0.2241436520436672,-0.21365936035948419,-0.25290297620150987,-0.22645379326086923,-0.21440918416408777,-0.22631379320592365,0.014237753700329854,18,-0.22304975841372812,-0.2258862154235477,-0.215867361249485,-0.2229651576304363,-0.2255853818818154,-0.22267077491980253,0.003615265373789053
0.009141826629638672,0.0020393874034300465,0.0009715080261230469,0.0003598943543189274,0.0001,0.3,"{'alpha': 0.0001, 'l1_ratio': 0.3}",-0.2241333176000926,-0.21365560656913732,-0.25291697589588014,-0.22646051129906958,-0.21439861366290175,-0.2263130050054163,0.014245746864728043,17,-0.22305000106637765,-0.22588649674859176,-0.21586755174959313,-0.22296533453131728,-0.22558561695937773,-0.22267100021105152,0.00361528958952673
0.009205389022827148,0.0016533387885538065,0.0011139392852783203,0.0005160259684474167,0.0001,0.5,"{'alpha': 0.0001, 'l1_ratio': 0.5}",-0.22412306939633966,-0.21365214824975287,-0.2529285947472283,-0.22646737225245755,-0.21438812204041768,-0.22631186133723924,0.014252784889275262,16,-0.22305039531717494,-0.22588696226645594,-0.21586787431588048,-0.22296563952945292,-0.2255860016262238,-0.22267137461103764,0.0036153262483882677
0.00732874870300293,0.0009226623676418259,0.000698995590209961,3.3545553387641665e-05,0.0001,0.7,"{'alpha': 0.0001, 'l1_ratio': 0.7}",-0.22411291000670644,-0.2136489899577985,-0.2529392332250327,-0.22647437636295886,-0.21437770904010997,-0.2263106437185213,0.014259390077761733,15,-0.2230509427986184,-0.22588761464584833,-0.21586833053022925,-0.22296607411082003,-0.22558653773940954,-0.22267189996498513,0.0036153755881283404
0.009149599075317382,0.0017193554163987402,0.0012546062469482421,0.0004260003873225779,0.0001,0.9,"{'alpha': 0.0001, 'l1_ratio': 0.9}",-0.22410284007055276,-0.21364613679520375,-0.25295007640311074,-0.22648152696200527,-0.21436737933532252,-0.22630959191323902,0.014266003406658291,14,-0.22305164535561464,-0.22588845649193817,-0.21586892622141488,-0.22296663992331098,-0.22558722655880123,-0.22267257891021597,0.003615436147833537
0.006530952453613281,0.0012122706988206904,0.0007486820220947265,0.00010838985852174424,0.0001,1.0,"{'alpha': 0.0001, 'l1_ratio': 1.0}",-0.22409783795683966,-0.2136448256479401,-0.2529555679380485,-0.22648515334709643,-0.2143622417999379,-0.22630912533797254,0.014269311082819775,13,-0.22305205564223704,-0.22588894941197643,-0.21586927618016413,-0.22296697221738002,-0.2255876294619272,-0.22267297658273696,0.003615471094590269
0.010008955001831054,0.0006965574892805709,0.0015445709228515624,0.0007675318871762891,0.001,0.1,"{'alpha': 0.001, 'l1_ratio': 0.1}",-0.224046656313785,-0.21366107695142147,-0.25299051693262314,-0.22649336604108533,-0.21430660138699903,-0.22629964352518278,0.014290434757610031,12,-0.2230578919483789,-0.22589451662355411,-0.21587161881125805,-0.222969643672695,-0.22559304867193902,-0.22267734394556501,0.0036166195433875205
0.004784345626831055,0.001971581614363751,0.0008314609527587891,0.00039961644084385083,0.001,0.3,"{'alpha': 0.001, 'l1_ratio': 0.3}",-0.22396427877102182,-0.21366409219747606,-0.25304104963160845,-0.22656790957029152,-0.21421690617731287,-0.22629084726954213,0.014326744278145476,11,-0.2230747853461013,-0.22591915679186247,-0.2158796433425207,-0.22298544041141663,-0.22561415753566716,-0.22269463668551365,0.003621997956567975
0.004676961898803711,0.00023618137715248364,0.0012212753295898437,0.0009155703152068958,0.001,0.5,"{'alpha': 0.001, 'l1_ratio': 0.5}",-0.22388777367181342,-0.2137152743483839,-0.2529969492843745,-0.22660308993008935,-0.2141353856322112,-0.22626769457337445,0.014317721499575919,10,-0.22310452219992363,-0.2259488821691184,-0.2158803561332766,-0.2230003586152741,-0.22565039864984732,-0.22271690355348803,0.003633732375070354
0.002500152587890625,0.0006941326979526964,0.000689697265625,0.00010643368547320697,0.001,0.7,"{'alpha': 0.001, 'l1_ratio': 0.7}",-0.22381908941971979,-0.2137693818479539,-0.2529529302137612,-0.22657446117278937,-0.21405879064571928,-0.22623493065998868,0.01430700082375764,9,-0.2231475809648606,-0.22599044539407803,-0.215881419366931,-0.22300162597582812,-0.2257031332640769,-0.2227448409931549,0.0036502091863054175
0.002486991882324219,0.0007291532044547443,0.0005386829376220703,7.748796020471618e-05,0.001,0.9,"{'alpha': 0.001, 'l1_ratio': 0.9}",-0.2237592659977592,-0.21378247580989193,-0.2529089929036213,-0.22654628995423615,-0.21398606702502354,-0.22619661833810642,0.014302604026391432,8,-0.22320552829880844,-0.22599253283198095,-0.2158828385845805,-0.22300339136732858,-0.22576028154124525,-0.22276891452478872,0.0036607006009580965
0.003311777114868164,0.0007671006479026404,0.001294994354248047,0.0004968875332276469,0.001,1.0,"{'alpha': 0.001, 'l1_ratio': 1.0}",-0.22373301677415275,-0.2137892145834812,-0.25288661184827493,-0.22653240844851089,-0.21397264955641845,-0.22618278024216765,0.014296195049582048,7,-0.22324056959197902,-0.22599378798894926,-0.21588369815976938,-0.2230044656250875,-0.225761578944904,-0.22277682006213784,0.003661684965150751
