mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.17275567054748536,0.01285880721904813,0.004746818542480468,0.0005932224820205327,,sqrt,1,2,50,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}",-0.16848294208404155,-0.16856412055917228,-0.16795031340603214,-0.17580161224240787,-0.15369410585119214,-0.1668986188285692,0.0072112757868952855,71,-0.023411374071030965,-0.023982786034924444,-0.024354484255964245,-0.023623415059514073,-0.023876836726021276,-0.023849779229491004,0.0003214311442816852
0.504298210144043,0.015714436169803656,0.02046513557434082,0.00686884089419906,,sqrt,1,2,150,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 150}",-0.16817286227872483,-0.16694656986751513,-0.1679922296042154,-0.1704071557962329,-0.14873527449230273,-0.1644508184077982,0.007938264984650266,68,-0.022494760104892295,-0.023371459452151876,-0.02322143751231506,-0.022812997783810365,-0.022740111934918924,-0.022928153357617706,0.00032217572322726953
0.9791882038116455,0.026617993092843125,0.03325123786926269,0.0044455012123403885,,sqrt,1,2,300,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",-0.16820126454895837,-0.16408125264406562,-0.16912024926835156,-0.1706974208859895,-0.14889414594630154,-0.16419886665873334,0.007958878210508117,66,-0.02225436471233079,-0.022834492281333,-0.022727425062617455,-0.02261322983799102,-0.022447060853143387,-0.022575314549483128,0.00020552668079273196
0.13787121772766114,0.006100829724450052,0.0037844181060791016,0.00029148143212376755,,sqrt,1,10,50,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 50}",-0.1643202141098799,-0.1591972509143197,-0.16203444396774386,-0.16360942053537977,-0.13336093217485412,-0.15650445234043547,0.011704881052793006,53,-0.06398946626265123,-0.06476295688133048,-0.06504527254237505,-0.0635208539331357,-0.06549974809073131,-0.06456365954204475,0.0007162504788952673
0.45585856437683103,0.01855102909763779,0.011487150192260742,0.002604591366740415,,sqrt,1,10,150,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 150}",-0.16320348308488317,-0.15494065731630294,-0.1633141598130595,-0.16358815438391314,-0.13398068064529609,-0.155805427048691,0.011390790384150768,48,-0.06400531663711626,-0.0650177538020949,-0.06457459019816235,-0.06333095548136045,-0.06488244794968111,-0.06436221281368301,0.0006223101001864431
0.8401752948760987,0.020515478344767347,0.027640771865844727,0.006918722671123285,,sqrt,1,10,300,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 300}",-0.16292077517998263,-0.1536104039162592,-0.16297304193736906,-0.16232547691086793,-0.13545127815680666,-0.1554561952202571,0.01061144308510486,44,-0.0636850680218859,-0.06490772391642827,-0.06406752891867971,-0.06318322784100663,-0.06444738066187983,-0.06405818587197606,0.0005963293137177523
0.13344249725341797,0.0134490214122138,0.004952192306518555,0.0015340209336591082,,sqrt,4,2,50,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 50}",-0.1603920706816088,-0.1521515797862271,-0.16228987881454093,-0.1641109908977505,-0.13202434504946828,-0.15419377304591914,0.0118149999840689,33,-0.07937072758739018,-0.08294168462359393,-0.0802220832734593,-0.0800211216066797,-0.08286968667651898,-0.08108506075352842,0.0015131144519653587
0.40168371200561526,0.009559453228480723,0.012383413314819337,0.0034594647737949064,,sqrt,4,2,150,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 150}",-0.16134831390415308,-0.15024551843906506,-0.1625977089633241,-0.1610226246077672,-0.13097253436118284,-0.15323734005509845,0.011989058575335512,26,-0.07936766330485247,-0.08233300454341597,-0.07990928323922403,-0.07910573799446657,-0.08168849270622487,-0.08048083635763678,0.001291950739440444
0.7700045585632325,0.03464467901811432,0.02427663803100586,0.002803148273612317,,sqrt,4,2,300,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 300}",-0.16062380151013045,-0.1497174804756056,-0.1613223491324275,-0.16137286200715886,-0.13086626502243065,-0.15278055162955062,0.011814609881732456,18,-0.07915422180097388,-0.08174928929010362,-0.07938046174023698,-0.07900404897249001,-0.08158641948872324,-0.08017488825850555,0.0012259606165218255
0.13068265914916993,0.0064602241784098,0.007207489013671875,0.004869903067835254,,sqrt,4,10,50,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 50}",-0.16073954639994073,-0.14960099198779384,-0.16074422077815445,-0.16074627012262693,-0.1322665217394796,-0.15281951020559909,0.011145812919365165,20,-0.08257704510976768,-0.08604368903015215,-0.08318316357697107,-0.08289331227115913,-0.08585708013269108,-0.08411085802414824,0.0015153048574065642
