group,rmse,mae,r2,plcc,srcc,status
all_data,0.5154898459077332,0.42195874912397574,0.38875621983557007,0.6236651340119813,0.5489248012445797,success
complexity_1,0.19669872651738463,0.1469638455516732,0.8843204518609031,0.9410293000738883,0.943824779409204,success
complexity_2,0.18530245762283448,0.14089008778816448,0.8072650715601816,0.9014065766498953,0.781072700430286,success
complexity_3,0.2545980871387945,0.19613779768582043,0.7018682299085337,0.8431682563109961,0.525145710036509,success
degradation_DownSample,0.4636721718377186,0.3459456815656205,0.18528377016271524,0.4341134537783903,0.33022920013318663,success
degradation_LocalLoss,0.44455937025865694,0.3614410955022015,0.3183424264457575,0.5763650334948248,0.5574889701045285,success
degradation_Octree,0.41829051872129636,0.31353104075316723,0.514868383816485,0.726637754207035,0.6966995222563924,success
degradation_limitlossyG_lossyA,0.5104900816490114,0.42318226424269084,0.49586360829331777,0.7050651993434961,0.6993161222289107,success
degradation_lossy_geom_lossy_attrs,0.5164460624893364,0.41501041981639847,0.36009569653601625,0.6001788804188772,0.47600225372711974,success
