mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_max_iter,param_solver,param_tol,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.0049117088317871095,0.001226843077500453,0.0032381534576416014,0.00333348334485458,0.0001,1000,auto,0.0001,"{'alpha': 0.0001, 'max_iter': 1000, 'solver': 'auto', 'tol': 0.0001}",-0.1162621296426918,-0.12315898390122496,-0.12316369256719432,-0.12761284589588093,-0.12026053465319365,-0.12209163733203714,0.003744552631544954,517,-0.12279065914926016,-0.12106213830904759,-0.12097982260407963,-0.11991646234619807,-0.12169501245582841,-0.12128881897288277,0.0009434768307769356
0.0050906181335449215,0.0018321155949117456,0.001726818084716797,0.0007873478265952315,0.0001,1000,auto,0.001,"{'alpha': 0.0001, 'max_iter': 1000, 'solver': 'auto', 'tol': 0.001}",-0.1162621296426918,-0.12315898390122496,-0.12316369256719432,-0.12761284589588093,-0.12026053465319365,-0.12209163733203714,0.003744552631544954,517,-0.12279065914926016,-0.12106213830904759,-0.12097982260407963,-0.11991646234619807,-0.12169501245582841,-0.12128881897288277,0.0009434768307769356
0.004055023193359375,0.002449407746071776,0.0009870052337646485,0.000347870874616806,0.0001,1000,auto,0.01,"{'alpha': 0.0001, 'max_iter': 1000, 'solver': 'auto', 'tol': 0.01}",-0.1162621296426918,-0.12315898390122496,-0.12316369256719432,-0.12761284589588093,-0.12026053465319365,-0.12209163733203714,0.003744552631544954,517,-0.12279065914926016,-0.12106213830904759,-0.12097982260407963,-0.11991646234619807,-0.12169501245582841,-0.12128881897288277,0.0009434768307769356
0.00614013671875,0.003995299643693378,0.002247190475463867,0.0008770922338004404,0.0001,1000,svd,0.0001,"{'alpha': 0.0001, 'max_iter': 1000, 'solver': 'svd', 'tol': 0.0001}",-0.11626212964269177,-0.12315898390122511,-0.12316369256719424,-0.12761284589588082,-0.12026053465319364,-0.12209163733203712,0.0037445526315449352,505,-0.12279065914926016,-0.12106213830904759,-0.12097982260407966,-0.11991646234619806,-0.12169501245582841,-0.12128881897288277,0.0009434768307769378
0.006028318405151367,0.002003471303634126,0.002828216552734375,0.001212588442219076,0.0001,1000,svd,0.001,"{'alpha': 0.0001, 'max_iter': 1000, 'solver': 'svd', 'tol': 0.001}",-0.11626212964269177,-0.12315898390122511,-0.12316369256719424,-0.12761284589588082,-0.12026053465319364,-0.12209163733203712,0.0037445526315449352,505,-0.12279065914926016,-0.12106213830904759,-0.12097982260407966,-0.11991646234619806,-0.12169501245582841,-0.12128881897288277,0.0009434768307769378
0.0037030696868896483,0.002934228653830991,0.0009511947631835937,0.00031867554203753306,0.0001,1000,svd,0.01,"{'alpha': 0.0001, 'max_iter': 1000, 'solver': 'svd', 'tol': 0.01}",-0.11626212964269177,-0.12315898390122511,-0.12316369256719424,-0.12761284589588082,-0.12026053465319364,-0.12209163733203712,0.0037445526315449352,505,-0.12279065914926016,-0.12106213830904759,-0.12097982260407966,-0.11991646234619806,-0.12169501245582841,-0.12128881897288277,0.0009434768307769378
0.001416015625,0.00036771100124786114,0.001259613037109375,0.0008566914615222994,0.0001,1000,cholesky,0.0001,"{'alpha': 0.0001, 'max_iter': 1000, 'solver': 'cholesky', 'tol': 0.0001}",-0.1162621296426918,-0.12315898390122496,-0.12316369256719432,-0.12761284589588093,-0.12026053465319365,-0.12209163733203714,0.003744552631544954,517,-0.12279065914926016,-0.12106213830904759,-0.12097982260407963,-0.11991646234619807,-0.12169501245582841,-0.12128881897288277,0.0009434768307769356
0.0032102108001708985,0.0012255489439927253,0.000962209701538086,0.0002967819456538087,0.0001,1000,cholesky,0.001,"{'alpha': 0.0001, 'max_iter': 1000, 'solver': 'cholesky', 'tol': 0.001}",-0.1162621296426918,-0.12315898390122496,-0.12316369256719432,-0.12761284589588093,-0.12026053465319365,-0.12209163733203714,0.003744552631544954,517,-0.12279065914926016,-0.12106213830904759,-0.12097982260407963,-0.11991646234619807,-0.12169501245582841,-0.12128881897288277,0.0009434768307769356
0.0016314983367919922,0.0004098933649275244,0.000786447525024414,0.0002945582415013081,0.0001,1000,cholesky,0.01,"{'alpha': 0.0001, 'max_iter': 1000, 'solver': 'cholesky', 'tol': 0.01}",-0.1162621296426918,-0.12315898390122496,-0.12316369256719432,-0.12761284589588093,-0.12026053465319365,-0.12209163733203714,0.003744552631544954,517,-0.12279065914926016,-0.12106213830904759,-0.12097982260407963,-0.11991646234619807,-0.12169501245582841,-0.12128881897288277,0.0009434768307769356
0.0021776199340820313,0.0006376487956021876,0.0007788658142089844,0.00031411382775392105,0.0001,1000,lsqr,0.0001,"{'alpha': 0.0001, 'max_iter': 1000, 'solver': 'lsqr', 'tol': 0.0001}",-0.11626212964297103,-0.12315898390123237,-0.12316369256733802,-0.12761284589598798,-0.12026053465286264,-0.12209163733207842,0.0037445526315306042,541,-0.12279065914926016,-0.12106213830904759,-0.12097982260407963,-0.11991646234619807,-0.12169501245582838,-0.12128881897288277,0.0009434768307769332
