mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_batch_size,param_early_stopping,param_hidden_layer_sizes,param_learning_rate,param_learning_rate_init,param_max_iter,param_n_iter_no_change,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.6557927131652832,0.04726062669031784,0.0017240524291992187,0.0007180072060008219,relu,0.0001,32,True,"(16,)",constant,0.001,300,10,adam,"{'activation': 'relu', 'alpha': 0.0001, 'batch_size': 32, 'early_stopping': True, 'hidden_layer_sizes': (16,), 'learning_rate': 'constant', 'learning_rate_init': 0.001, 'max_iter': 300, 'n_iter_no_change': 10, 'solver': 'adam'}",-0.1736025756018148,-0.16844319862202012,-0.17423447058541486,-0.16973551619110713,-0.15173549249328852,-0.16755025069872911,0.008209613274552155,601,-0.15474911511878622,-0.16040189693550436,-0.15387433359778482,-0.1527981447207323,-0.16372198376654745,-0.15710909482787103,0.004223513255679534
0.5520446300506592,0.18076127576950982,0.0013995647430419921,0.0003921796017269476,relu,0.0001,32,True,"(16,)",constant,0.001,300,10,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'batch_size': 32, 'early_stopping': True, 'hidden_layer_sizes': (16,), 'learning_rate': 'constant', 'learning_rate_init': 0.001, 'max_iter': 300, 'n_iter_no_change': 10, 'solver': 'sgd'}",-0.18339586748168243,-0.17027220338578342,-0.17122670136817933,-0.18094884230648686,-0.15552183975434575,-0.17227309085929557,0.00984568654990414,701,-0.16087098971857342,-0.16011889547911898,-0.1567441630823751,-0.1653800058526321,-0.17275164845942334,-0.1631731405184246,0.005524095055621595
0.9673687934875488,0.0992167421296805,0.0016093254089355469,0.0008083742163622182,relu,0.0001,32,True,"(16,)",constant,0.001,700,10,adam,"{'activation': 'relu', 'alpha': 0.0001, 'batch_size': 32, 'early_stopping': True, 'hidden_layer_sizes': (16,), 'learning_rate': 'constant', 'learning_rate_init': 0.001, 'max_iter': 700, 'n_iter_no_change': 10, 'solver': 'adam'}",-0.1736025756018148,-0.16844319862202012,-0.17423447058541486,-0.16973551619110713,-0.15173549249328852,-0.16755025069872911,0.008209613274552155,601,-0.15474911511878622,-0.16040189693550436,-0.15387433359778482,-0.1527981447207323,-0.16372198376654745,-0.15710909482787103,0.004223513255679534
0.8867441654205322,0.3470865855055929,0.001876974105834961,0.0002475875456157583,relu,0.0001,32,True,"(16,)",constant,0.001,700,10,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'batch_size': 32, 'early_stopping': True, 'hidden_layer_sizes': (16,), 'learning_rate': 'constant', 'learning_rate_init': 0.001, 'max_iter': 700, 'n_iter_no_change': 10, 'solver': 'sgd'}",-0.18339586748168243,-0.17027220338578342,-0.17122670136817933,-0.18094884230648686,-0.15552183975434575,-0.17227309085929557,0.00984568654990414,701,-0.16087098971857342,-0.16011889547911898,-0.1567441630823751,-0.1653800058526321,-0.17275164845942334,-0.1631731405184246,0.005524095055621595
0.5076963424682617,0.2341607204139657,0.0026504039764404298,0.001813695132134925,relu,0.0001,32,True,"(16,)",constant,0.01,300,10,adam,"{'activation': 'relu', 'alpha': 0.0001, 'batch_size': 32, 'early_stopping': True, 'hidden_layer_sizes': (16,), 'learning_rate': 'constant', 'learning_rate_init': 0.01, 'max_iter': 300, 'n_iter_no_change': 10, 'solver': 'adam'}",-0.17205438240029094,-0.17752951054934393,-0.16508963125454493,-0.16376131714764877,-0.15794205522263172,-0.16727537931489206,0.006815029625369838,591,-0.15010596015850347,-0.16908578655275974,-0.1389215306507474,-0.14129180724526313,-0.17003237591436918,-0.15388749210432856,0.013330991640063307
0.4663087368011475,0.27646955594079065,0.002956056594848633,0.0018802924046703194,relu,0.0001,32,True,"(16,)",constant,0.01,300,10,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'batch_size': 32, 'early_stopping': True, 'hidden_layer_sizes': (16,), 'learning_rate': 'constant', 'learning_rate_init': 0.01, 'max_iter': 300, 'n_iter_no_change': 10, 'solver': 'sgd'}",-0.16977974102636287,-0.16844701468678636,-0.16325390550326951,-0.16012624480403337,-0.15496036661802118,-0.16331345452769463,0.00544246691355155,452,-0.15308502449060266,-0.1630207889021274,-0.13828173006576136,-0.14272968322149518,-0.1672053681188114,-0.15286451895975958,0.011173459838407911
0.4496460914611816,0.21227437306852343,0.0025988101959228517,0.001084912592358285,relu,0.0001,32,True,"(16,)",constant,0.01,700,10,adam,"{'activation': 'relu', 'alpha': 0.0001, 'batch_size': 32, 'early_stopping': True, 'hidden_layer_sizes': (16,), 'learning_rate': 'constant', 'learning_rate_init': 0.01, 'max_iter': 700, 'n_iter_no_change': 10, 'solver': 'adam'}",-0.17205438240029094,-0.17752951054934393,-0.16508963125454493,-0.16376131714764877,-0.15794205522263172,-0.16727537931489206,0.006815029625369838,591,-0.15010596015850347,-0.16908578655275974,-0.1389215306507474,-0.14129180724526313,-0.17003237591436918,-0.15388749210432856,0.013330991640063307
0.3369873523712158,0.20784061909799664,0.0018056869506835938,0.0007831531533604116,relu,0.0001,32,True,"(16,)",constant,0.01,700,10,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'batch_size': 32, 'early_stopping': True, 'hidden_layer_sizes': (16,), 'learning_rate': 'constant', 'learning_rate_init': 0.01, 'max_iter': 700, 'n_iter_no_change': 10, 'solver': 'sgd'}",-0.16977974102636287,-0.16844701468678636,-0.16325390550326951,-0.16012624480403337,-0.15496036661802118,-0.16331345452769463,0.00544246691355155,452,-0.15308502449060266,-0.1630207889021274,-0.13828173006576136,-0.14272968322149518,-0.1672053681188114,-0.15286451895975958,0.011173459838407911
0.7605074405670166,0.05521601402721243,0.0013666629791259765,0.0005863764347849815,relu,0.0001,32,True,"(16,)",adaptive,0.001,300,10,adam,"{'activation': 'relu', 'alpha': 0.0001, 'batch_size': 32, 'early_stopping': True, 'hidden_layer_sizes': (16,), 'learning_rate': 'adaptive', 'learning_rate_init': 0.001, 'max_iter': 300, 'n_iter_no_change': 10, 'solver': 'adam'}",-0.1736025756018148,-0.16844319862202012,-0.17423447058541486,-0.16973551619110713,-0.15173549249328852,-0.16755025069872911,0.008209613274552155,601,-0.15474911511878622,-0.16040189693550436,-0.15387433359778482,-0.1527981447207323,-0.16372198376654745,-0.15710909482787103,0.004223513255679534
0.8920310497283935,0.20958219926800015,0.0016575336456298828,0.000582020165111896,relu,0.0001,32,True,"(16,)",adaptive,0.001,300,10,sgd,"{'activation': 'relu', 'alpha': 0.0001, 'batch_size': 32, 'early_stopping': True, 'hidden_layer_sizes': (16,), 'learning_rate': 'adaptive', 'learning_rate_init': 0.001, 'max_iter': 300, 'n_iter_no_change': 10, 'solver': 'sgd'}",-0.1825916417371087,-0.17027220338578342,-0.17159674821542564,-0.18094884230648686,-0.15223105014440172,-0.17152809715784129,0.01081767501255667,687,-0.15970082702437502,-0.16011889547911898,-0.15640801085027264,-0.1653800058526321,-0.1698702897578627,-0.1622956057928523,0.00475445222404639
