mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_l1_ratio,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.013648223876953126,0.0026834548913454025,0.001576995849609375,0.0006685222028404331,0.0001,0.1,"{'alpha': 0.0001, 'l1_ratio': 0.1}",-0.20377190054046132,-0.21329041693871223,-0.20044520106648372,-0.21742738122247066,-0.2422737165164255,-0.21544172325691072,0.014762162841202419,2,-0.21650075899199206,-0.21417150772530283,-0.21728210973018747,-0.21303935443395117,-0.2069379331613142,-0.21358633280854952,0.003660477562506873
0.01484227180480957,0.0018963959398159006,0.0017349720001220703,0.0009907487884294002,0.0001,0.3,"{'alpha': 0.0001, 'l1_ratio': 0.3}",-0.2037671718913398,-0.21330802336873905,-0.200449656584844,-0.21741102405572668,-0.24227254284124192,-0.2154416837483783,0.014760629479091831,1,-0.21650118230062107,-0.21417193880356467,-0.21728254131427197,-0.21303979569251855,-0.20693834296724858,-0.213586760215645,0.0036604838504344797
0.01459360122680664,0.0023536978749503596,0.001633453369140625,0.0009380193441958253,0.0001,0.5,"{'alpha': 0.0001, 'l1_ratio': 0.5}",-0.2037625543884424,-0.21332591949588475,-0.20045430653409532,-0.21739471588455803,-0.24227149259823888,-0.21544179778024386,0.014759085162173478,3,-0.21650174612536285,-0.2141725372004213,-0.217283125867952,-0.21304036673857124,-0.20693889368982127,-0.21358733392442572,0.003660493685189195
0.014524030685424804,0.0034246029123627996,0.0013768196105957032,0.00036678453689167163,0.0001,0.7,"{'alpha': 0.0001, 'l1_ratio': 0.7}",-0.20375804960629598,-0.21334410512386684,-0.20045915034880185,-0.21737845187318325,-0.2422705672602451,-0.21544206484247858,0.014757530352046562,4,-0.2165024521511092,-0.21417330508726767,-0.21728386515492185,-0.21304106947742008,-0.20693958743422217,-0.21358805586098822,0.0036605069390829408
0.01620960235595703,0.0028301262015158414,0.001430654525756836,0.00035143372805538584,0.0001,0.9,"{'alpha': 0.0001, 'l1_ratio': 0.9}",-0.20375365699106318,-0.21336258745633538,-0.20046419605010135,-0.21736223367392551,-0.24226976844770196,-0.21544248852382547,0.014755964123266388,5,-0.2165033026444837,-0.21417424491932202,-0.21728476191813553,-0.21304190568408438,-0.2069404258422438,-0.21358892820165387,0.0036605239562306734
0.012624406814575195,0.004048838076277753,0.0008853435516357422,0.00034897149467939733,0.0001,1.0,"{'alpha': 0.0001, 'l1_ratio': 1.0}",-0.20375150329191902,-0.21337195085589244,-0.200466792850419,-0.21735414611146192,-0.24226941700671933,-0.21544276202328233,0.014755177050880346,6,-0.21650378268036263,-0.2141747805865101,-0.21728526970387455,-0.21304237417999677,-0.20694090000158805,-0.21358942143046641,0.0036605338184755496
0.009602832794189452,0.0011261581228147524,0.0007336139678955078,7.938801687139708e-05,0.001,0.1,"{'alpha': 0.001, 'l1_ratio': 0.1}",-0.20371555626131957,-0.213670774580709,-0.2005418136691555,-0.21709197740008843,-0.242240816448181,-0.21545218767189073,0.014721146317030283,7,-0.2165397383165959,-0.21420270223525623,-0.21731792119544063,-0.21308700343399892,-0.20697365231027426,-0.21362420349831318,0.003660518255798248
0.008821630477905273,0.002841088595832055,0.0008877754211425781,0.0004852128803885468,0.001,0.3,"{'alpha': 0.001, 'l1_ratio': 0.3}",-0.20368374079760462,-0.2138805228388424,-0.20062253142984507,-0.2169694547579146,-0.2422552731910423,-0.2154823046030498,0.0147077403706154,8,-0.21657763464474958,-0.21424129159009328,-0.21735685481279557,-0.2131272638665122,-0.2070108499868007,-0.21366277898019023,0.003660934099711255
0.011344242095947265,0.0021784017594780247,0.0013419628143310548,0.0004994400362026991,0.001,0.5,"{'alpha': 0.001, 'l1_ratio': 0.5}",-0.2036602858277969,-0.21412011839510545,-0.2007239971445686,-0.21685420133474423,-0.24228310615781928,-0.21552834177200692,0.014694065371724381,9,-0.21663059693329897,-0.21429796908851775,-0.21741257295354768,-0.2131823815388455,-0.20706354875548538,-0.21371741385393905,0.0036616406468221426
0.008645391464233399,0.0017385197062715668,0.0013126373291015626,0.000518668242456676,0.001,0.7,"{'alpha': 0.001, 'l1_ratio': 0.7}",-0.2036499784682399,-0.21439309920631425,-0.20084870167233812,-0.21674760331972096,-0.2423258974263946,-0.2155930560186016,0.014679582909730244,10,-0.21670055537848049,-0.2143751282959544,-0.2174872179435474,-0.2132541503514405,-0.2071336098634893,-0.21379013236658242,0.0036627255606640975
